Functional area derivation table


MANDT	 KTOPL	 ZVALIDFROM	 ZVALIDTO	 ZACCFROM	 ZACCTO	 ZFUNC_AREA
X	 X	 X	 X	 X	 X	
MANDT-CLNT(3)	 KTOPL-CHAR(4)	 TTE_DT_VALIDFR-DATS(8)	 DATS-DATS(8)	 SAKNR-CHAR(10)	 SAKNR-CHAR(10)	 FKBER-CHAR(16)
100	 SCOA	 20161101	 99991231	 0004010996	 0004010996	 41111
100	 SCOA	 20161101	 99991231	 0004010997	 0004010997	 41111
100	 SCOA	 20161101	 99991231	 0004010998	 0004010998	 41111
100	 SCOA	 20161101	 99991231	 0004020001	 0004020001	 41112
100	 SCOA	 20161101	 99991231	 0004020002	 0004020002	 41112
100	 SCOA	 20161101	 99991231	 0004020003	 0004020003	 41112
100	 SCOA	 20161101	 99991231	 0004020005	 0004020005	 41112
100	 SCOA	 20161101	 99991231	 0004020006	 0004020006	 41112
100	 SCOA	 20161101	 99991231	 0004020011	 0004020011	 41112
100	 SCOA	 20161101	 99991231	 0004020013	 0004020013	 41112
100	 SCOA	 20161101	 99991231	 0004020020	 0004020020	 41112
100	 SCOA	 20161101	 99991231	 0004020050	 0004020050	 41112
100	 SCOA	 20161101	 99991231	 0004020051	 0004020051	 41112
100	 SCOA	 20161101	 99991231	 0004020052	 0004020052	 41112
100	 SCOA	 20161101	 99991231	 0004020053	 0004020053	 41112
100	 SCOA	 20161101	 99991231	 0004020054	 0004020054	 41112
100	 SCOA	 20161101	 99991231	 0004020055	 0004020055	 41112
100	 SCOA	 20161101	 99991231	 0004020056	 0004020056	 41112
100	 SCOA	 20161101	 99991231	 0004020057	 0004020057	 41112
100	 SCOA	 20161101	 99991231	 0004020058	 0004020058	 41112
100	 SCOA	 20161101	 99991231	 0004020901	 0004020901	 41112
100	 SCOA	 20161101	 99991231	 0004020906	 0004020906	 41112
100	 SCOA	 20161101	 99991231	 0004020913	 0004020913	 41112
100	 SCOA	 20161101	 99991231	 0004020950	 0004020950	 41112
100	 SCOA	 20161101	 99991231	 0004020951	 0004020951	 41112
100	 SCOA	 20161101	 99991231	 0004020952	 0004020952	 41112
100	 SCOA	 20161101	 99991231	 0004020991	 0004020991	 41112
100	 SCOA	 20161101	 99991231	 0004020992	 0004020992	 41112
100	 SCOA	 20161101	 99991231	 0004020993	 0004020993	 41112
100	 SCOA	 20161101	 99991231	 0004020996	 0004020996	 41112
100	 SCOA	 20161101	 99991231	 0004020997	 0004020997	 41112
100	 SCOA	 20161101	 99991231	 0004020998	 0004020998	 41112
100	 SCOA	 20161101	 99991231	 0004061001	 0004061001	 4121
100	 SCOA	 20161101	 99991231	 0004061002	 0004061002	 4121
100	 SCOA	 20161101	 99991231	 0004061003	 0004061003	 4121
100	 SCOA	 20161101	 99991231	 0004061005	 0004061005	 4121
100	 SCOA	 20161101	 99991231	 0004061006	 0004061006	 4121
100	 SCOA	 20161101	 99991231	 0004061011	 0004061011	 4121
100	 SCOA	 20161101	 99991231	 0004061013	 0004061013	 4121
100	 SCOA	 20161101	 99991231	 0004061020	 0004061020	 4121
100	 SCOA	 20161101	 99991231	 0004061050	 0004061050	 4121
100	 SCOA	 20161101	 99991231	 0004061051	 0004061051	 4121
100	 SCOA	 20161101	 99991231	 0004061052	 0004061052	 4121
100	 SCOA	 20161101	 99991231	 0004061053	 0004061053	 4121
100	 SCOA	 20161101	 99991231	 0004061054	 0004061054	 4121
100	 SCOA	 20161101	 99991231	 0004061055	 0004061055	 4121
100	 SCOA	 20161101	 99991231	 0004061056	 0004061056	 4121
100	 SCOA	 20161101	 99991231	 0004061057	 0004061057	 4121
100	 SCOA	 20161101	 99991231	 0004061058	 0004061058	 4121
100	 SCOA	 20161101	 99991231	 0004061901	 0004061901	 4121
100	 SCOA	 20161101	 99991231	 0004061906	 0004061906	 4121
100	 SCOA	 20161101	 99991231	 0004061913	 0004061913	 4121
100	 SCOA	 20161101	 99991231	 0004061950	 0004061950	 4121
100	 SCOA	 20161101	 99991231	 0004061951	 0004061951	 4121
100	 SCOA	 20161101	 99991231	 0004061952	 0004061952	 4121
100	 SCOA	 20161101	 99991231	 0004061991	 0004061991	 4121
100	 SCOA	 20161101	 99991231	 0004061992	 0004061992	 4121
100	 SCOA	 20161101	 99991231	 0004061993	 0004061993	 4121
100	 SCOA	 20161101	 99991231	 0004061996	 0004061996	 4121
100	 SCOA	 20161101	 99991231	 0004061997	 0004061997	 4121
100	 SCOA	 20161101	 99991231	 0004061998	 0004061998	 4121
