AM: Airpower Priority Code texts


MANDT	 SPRAS	 BUKRS	 ZZAPC	 DESCR
X	 X	 X	 X	
Client	 Language Key	 Company Code	 AM: Airpower Priority Code	 Description
MANDT-CLNT(3)	 SPRAS-LANG(1)	 BUKRS-CHAR(4)	 ZZAPC-CHAR(2)	 TEXT30-CHAR(30)
100	 L	 POLA	 Z3	 Urgent
100	 L	 POLA	 Z4	 Breakdown
100	 L	 RUPA	 Z1	 Breakdown
100	 L	 RUPA	 Z2	 Customer Backorder
100	 L	 RUPA	 Z3	 Urgent
100	 L	 RUPA	 Z4	 Breakdown
100	 L	 SHTA	 Z1	 Breakdown
100	 L	 SHTA	 Z2	 Customer Backorder
100	 L	 SHTA	 Z3	 Urgent
100	 L	 SHTA	 Z4	 Breakdown
100	 L	 SSCA	 Z1	 Breakdown
100	 L	 SSCA	 Z2	 Customer Backorder
100	 L	 SSCA	 Z3	 Urgent
100	 L	 SSCA	 Z4	 Breakdown
100	 L	 XRAA	 Z1	 Breakdown
100	 L	 XRAA	 Z2	 Customer Backorder
100	 L	 XRAA	 Z3	 Urgent
100	 L	 XRAA	 Z4	 Breakdown
100	 R	 ADEA	 BD	 Breakdown
100	 R	 ADEA	 CB	 Customer Backorder
100	 R	 ADEA	 UR	 Urgent
100	 R	 AFRA	 BD	 Breakdown
100	 R	 AFRA	 CB	 Customer Backorder
100	 R	 AFRA	 UR	 Urgent
100	 R	 BGAA	 BD	 Breakdown
100	 R	 BGAA	 CB	 Customer Backorder
100	 R	 BGAA	 RG	 Returned Goods
100	 R	 BGAA	 SR	 Stock Replenishment
100	 R	 BGAA	 UR	 Urgent
100	 R	 CHAA	 BD	 Breakdown
100	 R	 CHAA	 CB	 Customer Backorder
100	 R	 CHAA	 HF	 Hirefleet (AIP machines only)
100	 R	 CHAA	 SR	 Stock Replenishment
100	 R	 CHAA	 UR	 Urgent
100	 R	 CJAL	 SO	 Service Order
100	 R	 CJAL	 Z1	 Normal
100	 R	 CJAL	 Z2	 Urgent
100	 R	 CJAL	 Z3	 Breakdown
100	 R	 CJAL	 Z4	 Pick Up
100	 R	 CODA	 Z1	 Normal
100	 R	 CODA	 Z2	 Urgent
100	 R	 CODA	 Z3	 Breakdown
100	 R	 CODA	 Z4	 Pick Up
100	 R	 CONA	 SO	 Service Order
100	 R	 CONA	 Z1	 Normal
100	 R	 CONA	 Z2	 Urgent
100	 R	 CONA	 Z3	 Breakdown
100	 R	 CONA	 Z4	 Pick Up
100	 R	 CPRA	 BD	 Breakdown
100	 R	 CPRA	 CB	 Customer Backorder
100	 R	 CPRA	 UR	 Urgent
100	 R	 CQCA	 SO	 Service Order
100	 R	 CQCA	 Z1	 Normal
100	 R	 CQCA	 Z2	 Urgent
100	 R	 CQCA	 Z3	 Breakdown
100	 R	 CQCA	 Z4	 Pick Up
100	 R	 CQZA	 SO	 Service Order
100	 R	 CQZA	 Z1	 Normal
100	 R	 CQZA	 Z2	 Urgent
100	 R	 CQZA	 Z3	 Breakdown
100	 R	 CQZA	 Z4	 Pick Up
100	 R	 ESAA	 BD	 Breakdown
100	 R	 ESAA	 CB	 Customer DDD Backorder
100	 R	 ESAA	 SR	 Stock Replenishment
100	 R	 ESAA	 UR	 Urgent
100	 R	 GBAA	 BD	 Breakdown
100	 R	 GBAA	 CB	 Customer Backorder
100	 R	 GBAA	 UR	 Urgent
100	 R	 HKGA	 Z1	 Normal
100	 R	 HKGA	 Z2	 Urgent
100	 R	 HKGA	 Z3	 Breakdown
100	 R	 HKGA	 Z4	 Pick Up
100	 R	 HKKA	 Z1	 Normal
100	 R	 HKKA	 Z2	 Urgent
100	 R	 HKKA	 Z3	 Breakdown
100	 R	 HKKA	 Z4	 Pick Up
100	 R	 IYAA	 BD	 Breakdown
100	 R	 IYAA	 CB	 Customer Backorder
100	 R	 IYAA	 UR	 Urgent
100	 R	 MRUA	 Z1	 Normal
100	 R	 MRUA	 Z2	 Urgent
100	 R	 MRUA	 Z3	 Breakdown
100	 R	 MRUA	 Z4	 Pick Up
100	 R	 NLAA	 BD	 Breakdown
100	 R	 NLAA	 CB	 Customer Backorder
100	 R	 NLAA	 UR	 Urgent
100	 R	 NNAA	 BD	 Breakdown
100	 R	 NNAA	 CB	 Customer Backorder
100	 R	 NNAA	 UR	 Urgent
100	 R	 POLA	 Z1	 Normal
100	 R	 POLA	 Z2	 Urgent
100	 R	 POLA	 Z3	 Breakdown
100	 R	 POLA	 Z4	 Pick Up
100	 R	 RUPA	 Z1	 Normal
100	 R	 RUPA	 Z2	 Urgent
100	 R	 RUPA	 Z3	 Breakdown
100	 R	 RUPA	 Z4	 Pick Up
100	 R	 SHTA	 SO	 Service Order
100	 R	 SHTA	 Z1	 Normal
100	 R	 SHTA	 Z2	 Urgent
100	 R	 SHTA	 Z3	 Breakdown
100	 R	 SHTA	 Z4	 Pick Up
100	 R	 SSCA	 Z1	 Normal
100	 R	 SSCA	 Z2	 Urgent
100	 R	 SSCA	 Z3	 Breakdown
100	 R	 SSCA	 Z4	 Pick Up
100	 R	 XRAA	 Z1	 Normal
100	 R	 XRAA	 Z2	 Urgent
100	 R	 XRAA	 Z3	 Breakdown
100	 R	 XRAA	 Z4	 Pick Up
