Table for profit centre derivation rules


MANDT	 BUKRS	 HKONT	 PRCTR
100	 HKGA	 0001950014	 0000001910
100	 HKGA	 0001950107	 0000001910
100	 HKGA	 0001950114	 0000001910
100	 HKGA	 0001950307	 0000001910
100	 HKGA	 0001950314	 0000001910
100	 HKGA	 0001950507	 0000001910
100	 HKGA	 0001950514	 0000001910
100	 HKGA	 0001951007	 0000001910
100	 HKGA	 0001951107	 0000001910
100	 HKGA	 0001951307	 0000001910
100	 HKGA	 0001951507	 0000001910
100	 HKGA	 0001952012	 0000002910
100	 HKGA	 0001952014	 0000002910
100	 HKGA	 0001952036	 0000002910
100	 HKGA	 0001952112	 0000002910
100	 HKGA	 0001952114	 0000002910
100	 HKGA	 0001952136	 0000002910
100	 HKGA	 0001952312	 0000002910
100	 HKGA	 0001952314	 0000002910
100	 HKGA	 0001952336	 0000002910
100	 HKGA	 0001952512	 0000002910
100	 HKGA	 0001952514	 0000002910
100	 HKGA	 0001952536	 0000002910
100	 HKGA	 0001953012	 0000003910
100	 HKGA	 0001953014	 0000003910
100	 HKGA	 0001953036	 0000003910
100	 HKGA	 0001953112	 0000003910
100	 HKGA	 0001953114	 0000003910
100	 HKGA	 0001953136	 0000003910
100	 HKGA	 0001953312	 0000003910
100	 HKGA	 0001953314	 0000003910
100	 HKGA	 0001953336	 0000003910
100	 HKGA	 0001953512	 0000003910
100	 HKGA	 0001953514	 0000003910
100	 HKGA	 0001953536	 0000003910
100	 HKGA	 0001954014	 0000003910
100	 HKGA	 0001954114	 0000003910
100	 HKGA	 0001954314	 0000003910
100	 HKGA	 0001954514	 0000003910
100	 HKGA	 0001955014	 0000005310
100	 HKGA	 0001955114	 0000005310
100	 HKGA	 0001955314	 0000005310
100	 HKGA	 0001955514	 0000005310
100	 HKGA	 0001956014	 0000005310
100	 HKGA	 0001956114	 0000005310
100	 HKGA	 0001956314	 0000005310
100	 HKGA	 0001956514	 0000005210
100	 HKGA	 0001957014	 0000001910
100	 HKGA	 0001957114	 0000001910
100	 HKGA	 0001957314	 0000001910
100	 HKGA	 0001957514	 0000001910
100	 HKGA	 0001958014	 0000002910
100	 HKGA	 0001958114	 0000002910
100	 HKGA	 0001958314	 0000002910
100	 HKGA	 0001958514	 0000002910
100	 HKGA	 0001959012	 0000002910
100	 HKGA	 0001959112	 0000002910
100	 HKGA	 0001959312	 0000002910
100	 HKGA	 0001959512	 0000002910
100	 HKGA	 0001960002	 0000005310
100	 HKGA	 0001960003	 0000005310
100	 HKGA	 0001999002	 0000005310
100	 HKGA	 0001999004	 0000005310
100	 HKGA	 0001999901	 0000005210
100	 HKKA	 0001910007	 0000005210
100	 HKKA	 0001910014	 0000005210
100	 HKKA	 0001910999	 0000005210
100	 HKKA	 0001930014	 0000005110
100	 HKKA	 0001930114	 0000005110
100	 HKKA	 0001930314	 0000005110
100	 HKKA	 0001933002	 0000005110
100	 HKKA	 0001933004	 0000005110
100	 HKKA	 0001933005	 0000005110
100	 HKKA	 0001933012	 0000001910
100	 HKKA	 0001933013	 0000005110
100	 HKKA	 0001933014	 0000001910
100	 HKKA	 0001933016	 0000005110
100	 HKKA	 0001933020	 0000005310
100	 HKKA	 0001933026	 0000005310
100	 HKKA	 0001933031	 0000005110
100	 HKKA	 0001933032	 0000005310
100	 HKKA	 0001933033	 0000005310
100	 HKKA	 0001933036	 0000001910
100	 HKKA	 0001933102	 0000005110
100	 HKKA	 0001933104	 0000005110
100	 HKKA	 0001933105	 0000005110
100	 HKKA	 0001933112	 0000001910
100	 HKKA	 0001933113	 0000005110
100	 HKKA	 0001933114	 0000001910
100	 HKKA	 0001933116	 0000005110
100	 HKKA	 0001933120	 0000005110
100	 HKKA	 0001933126	 0000005110
100	 HKKA	 0001933131	 0000005110
100	 HKKA	 0001933132	 0000005110
100	 HKKA	 0001933133	 0000005110
100	 HKKA	 0001933136	 0000001910
100	 HKKA	 0001933302	 0000005110
100	 HKKA	 0001933304	 0000005110
100	 HKKA	 0001933305	 0000005110
100	 HKKA	 0001933312	 0000001910
100	 HKKA	 0001933313	 0000005110
100	 HKKA	 0001933314	 0000001910
100	 HKKA	 0001933316	 0000005110
100	 HKKA	 0001933320	 0000005110
100	 HKKA	 0001933326	 0000005110
100	 HKKA	 0001933331	 0000005110
100	 HKKA	 0001933332	 0000005110
100	 HKKA	 0001933333	 0000005110
100	 HKKA	 0001933336	 0000001910
100	 HKKA	 0001933502	 0000005110
100	 HKKA	 0001933504	 0000005110
100	 HKKA	 0001933505	 0000005110
100	 HKKA	 0001933512	 0000001910
100	 HKKA	 0001933513	 0000005110
100	 HKKA	 0001933514	 0000001910
100	 HKKA	 0001933516	 0000005110
100	 HKKA	 0001933520	 0000005110
100	 HKKA	 0001933526	 0000005110
