AM: Allowed Unit of measures for activity type


MANDT	 KOKRS	 WERKS	 LARNT	 MEINH
X	 X	 X	 X	 X
Client	 Controlling Area	 Plant	 Activity Type	 Unit of Measure for Activity/Operation
MANDT-CLNT(3)	 CACCD-CHAR(4)	 WERKS-CHAR(4)	 LSTAR-CHAR(6)	 MEINS-UNIT(3)
100	 1000	 AFRA	 ZNP015	 STD
100	 1000	 BGAA	 ZAM001	 STD
100	 1000	 BGAA	 ZAM007	 STD
100	 1000	 BGAA	 ZAM010	 KMT
100	 1000	 BGAA	 ZAM019	 EUR
100	 1000	 BGAA	 ZAM020	 EUR
100	 1000	 BGAA	 ZAM025	 STD
100	 1000	 BGAA	 ZAM026	 UA
100	 1000	 BGAA	 ZAM033	 STD
100	 1000	 BGAA	 ZAM034	 STD
100	 1000	 BGAA	 ZAM035	 UA
100	 1000	 BGAA	 ZAM036	 STD
100	 1000	 BGAA	 ZAM037	 UA
100	 1000	 BGAA	 ZAM039	 UA
100	 1000	 BGAA	 ZAM040	 UA
100	 1000	 BGAA	 ZAM041	 UA
100	 1000	 BGAA	 ZAM042	 KGT
100	 1000	 BGAA	 ZAM044	 STD
100	 1000	 BGAA	 ZAM061	 UA
100	 1000	 BGAA	 ZAM065	
100	 1000	 BGAA	 ZAM065	 EUR
100	 1000	 BGAA	 ZAM083	 LCU
100	 1000	 BGAA	 ZNP002	 STD
100	 1000	 BGAA	 ZNP003	 STD
100	 1000	 BGAA	 ZNP004	 STD
100	 1000	 BGAA	 ZNP005	 STD
100	 1000	 BGAA	 ZNP006	 STD
100	 1000	 BGAA	 ZNP007	 STD
100	 1000	 BGAA	 ZNP008	 STD
100	 1000	 BGAA	 ZNP009	 STD
100	 1000	 BGAA	 ZNP010	 STD
100	 1000	 BGAA	 ZNP011	 STD
100	 1000	 BGAA	 ZNP012	 STD
100	 1000	 BGAA	 ZNP013	 STD
100	 1000	 BGAA	 ZNP014	 KMT
100	 1000	 BGAA	 ZNP017	 EUR
100	 1000	 BGAA	 ZNP019	 UA
100	 1000	 BGAA	 ZNP021	 UA
100	 1000	 BGAA	 ZNP029	 STD
100	 1000	 CD01	 ZAM001	 STD
100	 1000	 CD01	 ZAM004	 STD
100	 1000	 CD01	 ZAM007	 STD
100	 1000	 CD01	 ZAM025	 STD
100	 1000	 CD01	 ZAM027	 UA
