Tcodes linked with single role


MANDT	 AGR_NAME	 TCODE
X	 X	 X
Client	 Role Name	 Extended program name
MANDT-CLNT(3)	 AGR_NAME-CHAR(30)	 EXTDREPORT-CHAR(48)
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013622
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013623
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013624
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013625
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013626
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013627
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013628
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013629
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013630
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013631
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013632
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013633
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013634
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013635
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013636
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013637
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013638
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013639
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013640
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013641
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013642
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013643
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013644
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013645
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013646
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013647
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013648
100	 ZCQCA_RDC_CO_REPORTING	 S_EBS_44000565
100	 ZCQCA_RDC_CO_REPORTING	 S_P99_41000117
100	 ZCQCA_RDC_CO_REPORTING	 S_P99_41000118
100	 ZCQCA_RDC_CO_REPORTING	 VF43
100	 ZCQCA_RDC_CO_REPORTING	 VF45
100	 ZCQCA_RDC_CO_REPORTING	 YAM_COPA_LOG
100	 ZCQCA_RDC_CO_REPORTING	 YAM_RECON_VAN
100	 ZCQCA_RDC_CO_REPORTING	 YAM_RECON_WIP
100	 ZCQCA_RDC_CO_REPORTING	 YSE_AM_REV
100	 ZCQCA_RDC_CO_REPORTING	 YSE_AM_WIP
100	 ZCQCA_RDC_CO_REPORTING	 YSE_AM_WIP_DISP
100	 ZCQCA_RDC_CO_REPORTING	 YSE_CONDITION_PB00
100	 ZCQCA_RDC_CO_REPORTING	 YSE_CT_OR
100	 ZCQCA_RDC_CO_REPORTING	 YSE_FI_AM_LST_31
100	 ZCQCA_RDC_CO_REPORTING	 YSE_FI_REP_RR_CHECK
100	 ZCQCA_RDC_CO_REPORTING	 YSE_FI_REP_SPAPRICE
100	 ZCQCA_RDC_CO_REPORTING	 YSE_FI_WIPAGEING_REB
100	 ZCQCA_RDC_CO_REPORTING	 YSE_HRS_KF
100	 ZCQCA_RDC_CO_REPORTING	 YSE_SL_REPORTING
100	 ZCQCA_RDC_CO_REPORTING	 YSE_SL_REP_EMPLOYEE
100	 ZCQCA_RDC_CO_REPORTING	 YSE_SL_REP_OPENPO
100	 ZCQCA_RDC_CO_REPORTING	 YSE_SL_REP_OPENPOEXT
100	 ZCQCA_RDC_CO_REPORTING	 YSE_SO_COPA_EQUIP
100	 ZCQCA_RDC_CO_REPORTING	 ZVF45
100	 ZCQCA_RDC_CO_REPORTING	 Z_ACT_HRS
100	 ZCQCA_RDC_CS_BILLING	 DP90
100	 ZCQCA_RDC_CS_BILLING	 DP91
100	 ZCQCA_RDC_CS_BILLING	 DP95
100	 ZCQCA_RDC_CS_BILLING	 DP96
100	 ZCQCA_RDC_CS_BILLING	 DP97
100	 ZCQCA_RDC_CS_BILLING	 DP98
100	 ZCQCA_RDC_CS_BILLING	 DP99A
100	 ZCQCA_RDC_CS_BILLING	 DP99B
100	 ZCQCA_RDC_CS_BILLING	 V.07
100	 ZCQCA_RDC_CS_BILLING	 V.21
100	 ZCQCA_RDC_CS_BILLING	 V23
100	 ZCQCA_RDC_CS_BILLING	 VF01
100	 ZCQCA_RDC_CS_BILLING	 VF02
100	 ZCQCA_RDC_CS_BILLING	 VF04
100	 ZCQCA_RDC_CS_BILLING	 VF05
100	 ZCQCA_RDC_CS_BILLING	 VF05N
100	 ZCQCA_RDC_CS_BILLING	 VF06
100	 ZCQCA_RDC_CS_BILLING	 VF07
100	 ZCQCA_RDC_CS_BILLING	 VF11
100	 ZCQCA_RDC_CS_BILLING	 VF21
100	 ZCQCA_RDC_CS_BILLING	 VF24
100	 ZCQCA_RDC_CS_BILLING	 VF31
100	 ZCQCA_RDC_CS_BILLING	 VFRB
100	 ZCQCA_RDC_CS_BILLING	 VFX3
100	 ZCQCA_RDC_CS_BILLING	 VV31
100	 ZCQCA_RDC_CS_BILLING	 VV32
100	 ZCQCA_RDC_CS_BILLING	 YAM_BILL_DUE_LIST
100	 ZCQCA_RDC_CS_BILLING	 YAM_RECON_INV
100	 ZCQCA_RDC_CS_BILLING	 YAM_RECON_INV_PROF
100	 ZCQCA_RDC_CS_BILLING	 YAM_RECON_IORD
100	 ZCQCA_RDC_CS_BILLING	 YSE_EMSE
100	 ZCQCA_RDC_CS_DISPLAY	 CM01
100	 ZCQCA_RDC_CS_DISPLAY	 CM02
100	 ZCQCA_RDC_CS_DISPLAY	 CM03
100	 ZCQCA_RDC_CS_DISPLAY	 CM04
100	 ZCQCA_RDC_CS_DISPLAY	 CM05
