AM: Consignee Code texts


MANDT	 SPRAS	 BUKRS	 ZZCON	 DESCR
X	 X	 X	 X	
MANDT-CLNT(3)	 SPRAS-LANG(1)	 BUKRS-CHAR(4)	 ZZCON-CHAR(2)	 TEXT30-CHAR(30)
100	 S	 GBAA	 2	 London Service
100	 S	 GBAA	 3	 TNT Parcel
100	 S	 HKGA	 9	 Innight
100	 S	 HKKA	 9	 Innight
100	 S	 NNAA	 1	 Innight
100	 S	 NNAA	 2	 Innight
100	 S	 POLA	 9	 Innight
100	 S	 SSCA	 9	 Innight
100	 V	 ADEA	 2	 Innight
100	 V	 ADEA	 3	 TNT Parcel
100	 V	 ADEA	 9	 Special Instructions
100	 V	 AFRA	 2	 Innight
100	 V	 AFRA	 3	 TNT Parcel
100	 V	 AFRA	 6	 TNT Parcel
100	 V	 AFRA	 9	 Special Instructions
100	 V	 CHAA	 9	 Special Instructions
100	 V	 CODA	 9	 Innight
100	 V	 CPRA	 9	 Special Instructions
100	 V	 GBAA	 1	 TNT Truck
100	 V	 GBAA	 2	 London Service
100	 V	 GBAA	 3	 TNT Parcel
100	 V	 HKGA	 9	 Innight
100	 V	 HKKA	 9	 Innight
100	 V	 NNAA	 1	 Innight
100	 V	 NNAA	 2	 Innight
100	 V	 POLA	 9	 Innight
100	 V	 SSCA	 9	 Innight
