AM: Speed delivery code


MANDT	 SPRAS	 BUKRS	 ZZSDC	 DESCR
100	 I	 CPRA	 EX	 Express Delivery
100	 I	 ESAA	 EC	 Economy
100	 I	 ESAA	 EX	 Express Delivery
100	 I	 GBAA	 EC	 Economy
100	 I	 GBAA	 EX	 Express Delivery
100	 I	 GBAA	 TR	 Truck
100	 I	 IYAA	 EC	 Economy
100	 I	 NLAA	 EC	 Economy
100	 I	 NLAA	 EX	 Express Delivery
100	 I	 NNAA	 EC	 Economy
100	 I	 NNAA	 EX	 Express Delivery
100	 L	 ADEA	 EC	 Economy
100	 L	 ADEA	 EX	 Express Delivery
100	 L	 ADEA	 TR	 Truck
100	 L	 AFRA	 EC	 Economy
100	 L	 AFRA	 EX	 Express
100	 L	 BGAA	 EC	 Economy
100	 L	 BGAA	 EX	 Express
100	 L	 CHAA	 EC	 Economy
100	 L	 CHAA	 EX	 Express
100	 L	 CPRA	 EC	 Economy
100	 L	 CPRA	 EX	 Express
100	 L	 ESAA	 EC	 Economy
100	 L	 ESAA	 EX	 Express
100	 L	 GBAA	 EC	 Economy
100	 L	 GBAA	 EX	 Express Delivery
100	 L	 GBAA	 TR	 Truck
100	 L	 IYAA	 EC	 Economy
100	 L	 IYAA	 EX	 Express Delivery
100	 L	 NLAA	 EC	 Economy
100	 L	 NLAA	 EX	 Express
100	 L	 NNAA	 EC	 Economy
100	 L	 NNAA	 EX	 Express
100	 N	 ADEA	 EC	 Economy
100	 N	 ADEA	 EX	 Express Delivery
100	 N	 ADEA	 TR	 Truck
100	 N	 AFRA	 EC	 Economy
100	 N	 AFRA	 EX	 Express
100	 N	 BGAA	 EC	 Economy
100	 N	 BGAA	 EX	 Express
100	 N	 CHAA	 EC	 Economy
100	 N	 CHAA	 EX	 Express
100	 N	 CPRA	 EC	 Economy
100	 N	 CPRA	 EX	 Express
100	 N	 ESAA	 EC	 Economy
100	 N	 ESAA	 EX	 Express
100	 N	 GBAA	 EC	 Economy
100	 N	 GBAA	 EX	 Express Delivery
100	 N	 GBAA	 TR	 Truck
100	 N	 IYAA	 EC	 Economy
100	 N	 IYAA	 EX	 Express Delivery
100	 N	 NLAA	 EC	 Economy
100	 N	 NLAA	 EX	 Express
100	 N	 NNAA	 EC	 Economy
100	 N	 NNAA	 EX	 Express
100	 R	 ADEA	 EC	 Economy
100	 R	 ADEA	 EX	 Express Delivery
100	 R	 ADEA	 TR	 Truck
100	 R	 AFRA	 EC	 Economy
100	 R	 AFRA	 EX	 Express
100	 R	 BGAA	 EC	 Economy
100	 R	 BGAA	 EX	 Express
100	 R	 CHAA	 EC	 Economy
100	 R	 CHAA	 EX	 Express
100	 R	 CPRA	 EC	 Economy
100	 R	 CPRA	 EX	 Express
100	 R	 ESAA	 EC	 Economy
100	 R	 ESAA	 EX	 Express
100	 R	 GBAA	 EC	 Economy
100	 R	 GBAA	 EX	 Express Delivery
100	 R	 GBAA	 TR	 Truck
100	 R	 IYAA	 EC	 Economy
100	 R	 IYAA	 EX	 Express Delivery
100	 R	 NLAA	 EC	 Economy
100	 R	 NLAA	 EX	 Express
