Table for Profit center derivation on Class


MANDT	 SPART	 BRAN1	 CLASS
X	 X	 X	
MANDT-CLNT(3)	 SPART-CHAR(2)	 BRACO-CHAR(10)	 CHAR4-CHAR(4)
100	 01	 311352	 GIN
100	 01	 3114	 GIN
100	 01	 31141	 GIN
100	 01	 311411	 GIN
100	 01	 311412	 GIN
100	 01	 31142	 GIN
100	 01	 311421	 GIN
100	 01	 311422	 GIN
100	 01	 311423	 GIN
100	 01	 3115	 GIN
100	 01	 31151	 GIN
100	 01	 311511	 GIN
100	 01	 311512	 GIN
100	 01	 311513	 GIN
100	 01	 311514	 GIN
100	 01	 31152	 GIN
100	 01	 311520	 GIN
100	 01	 3116	 GIN
100	 01	 31161	 GIN
100	 01	 311611	 GIN
100	 01	 311612	 GIN
100	 01	 311613	 GIN
100	 01	 311615	 GIN
100	 01	 3117	 GIN
100	 01	 31171	 GIN
100	 01	 311710	 GIN
100	 01	 311711	 GIN
100	 01	 311712	 GIN
100	 01	 3118	 GIN
100	 01	 31181	 GIN
100	 01	 311811	 GIN
100	 01	 311812	 GIN
100	 01	 311813	 GIN
100	 01	 31182	 GIN
100	 01	 311821	 GIN
100	 01	 311822	 GIN
100	 01	 311823	 GIN
100	 01	 311824	 GIN
100	 01	 31183	 GIN
100	 01	 311830	 GIN
100	 01	 3119	 GIN
100	 01	 31191	 GIN
100	 01	 311911	 GIN
100	 01	 311919	 GIN
100	 01	 31192	 GIN
100	 01	 311920	 GIN
100	 01	 31193	 GIN
100	 01	 311930	 GIN
100	 01	 31194	 GIN
100	 01	 311941	 GIN
100	 01	 311942	 GIN
100	 01	 31199	 GIN
100	 01	 311991	 GIN
100	 01	 311999	 GIN
100	 01	 3121	 GIN
100	 01	 31211	 GIN
100	 01	 312111	 GIN
100	 01	 312112	 GIN
100	 01	 312113	 GIN
100	 01	 31212	 GIN
100	 01	 312120	 GIN
100	 01	 31213	 GIN
100	 01	 312130	 GIN
100	 01	 31214	 GIN
100	 01	 312140	 GIN
100	 01	 3122	 GIN
100	 01	 31221	 GIN
100	 01	 312210	 GIN
100	 01	 31222	 GIN
100	 01	 312221	 GIN
100	 01	 312229	 GIN
100	 01	 312230	 GIN
100	 01	 3131	 GIN
100	 01	 31311	 GIN
100	 01	 313110	 GIN
100	 01	 313111	 GIN
100	 01	 313112	 GIN
100	 01	 313113	 GIN
100	 01	 3132	 GIN
100	 01	 31321	 GIN
100	 01	 313210	 GIN
100	 01	 31322	 GIN
100	 01	 313220	 GIN
100	 01	 313221	 GIN
100	 01	 313222	 GIN
100	 01	 31323	 GIN
100	 01	 313230	 GIN
100	 01	 31324	 GIN
100	 01	 313240	 GIN
100	 01	 313241	 GIN
100	 01	 313249	 GIN
100	 01	 3133	 GIN
100	 01	 31331	 GIN
100	 01	 313310	 GIN
100	 01	 313311	 GIN
100	 01	 313312	 GIN
100	 01	 31332	 GIN
100	 01	 313320	 GIN
100	 01	 3141	 GIN
100	 01	 31411	 GIN
100	 01	 314110	 GIN
100	 01	 31412	 GIN
100	 01	 314120	 GIN
100	 01	 314121	 GIN
100	 01	 314129	 GIN
100	 01	 3149	 GIN
100	 01	 31491	 GIN
100	 01	 314910	 GIN
100	 01	 314911	 GIN
100	 01	 314912	 GIN
100	 01	 31499	 GIN
100	 01	 314991	 GIN
100	 01	 314992	 GIN
100	 01	 314994	 GIN
100	 01	 314999	 GIN
100	 01	 3151	 GIN
100	 01	 31511	 GIN
100	 01	 315110	 GIN
100	 01	 315111	 GIN
100	 01	 315119	 GIN
100	 01	 31519	 GIN
100	 01	 315190	 GIN
100	 01	 315191	 GIN
100	 01	 315192	 GIN
100	 01	 3152	 GIN
100	 01	 31521	 GIN
100	 01	 315210	 GIN
100	 01	 315211	 GIN
100	 01	 315212	 GIN
100	 01	 31522	 GIN
100	 01	 315220	 GIN
100	 01	 315221	 GIN
100	 01	 315222	 GIN
100	 01	 315223	 GIN
100	 01	 315224	 GIN
100	 01	 315225	 GIN
100	 01	 315228	 GIN
100	 01	 31523	 GIN
100	 01	 315231	 GIN
100	 01	 315232	 GIN
100	 01	 315233	 GIN
100	 01	 315234	 GIN
100	 01	 315239	 GIN
100	 01	 315240	 GIN
100	 01	 315280	 GIN
100	 01	 31529	 GIN
100	 01	 315291	 GIN
100	 01	 315292	 GIN
100	 01	 315299	 GIN
100	 01	 3159	 GIN
100	 01	 31599	 GIN
100	 01	 315990	 GIN
100	 01	 315991	 GIN
100	 01	 315992	 GIN
100	 01	 315993	 GIN
100	 01	 315999	 GIN
100	 01	 3161	 GIN
100	 01	 31611	 GIN
100	 01	 316110	 GIN
100	 01	 3162	 GIN
100	 01	 31621	 GIN
100	 01	 316210	 GIN
100	 01	 316211	 GIN
100	 01	 316212	 GIN
100	 01	 316213	 GIN
100	 01	 316214	 GIN
100	 01	 316219	 GIN
100	 01	 3169	 GIN
100	 01	 31699	 GIN
100	 01	 316991	 GIN
100	 01	 316992	 GIN
100	 01	 316993	 GIN
100	 01	 316998	 GIN
100	 01	 316999	 GIN
100	 01	 3211	 GIN
100	 01	 32111	 GIN
100	 01	 321113	 GIN
100	 01	 321114	 GIN
100	 01	 3212	 GIN
100	 01	 32121	 GIN
100	 01	 321211	 GIN
100	 01	 321212	 GIN
100	 01	 321213	 GIN
100	 01	 321214	 GIN
100	 01	 321219	 GIN
100	 01	 3219	 GIN
100	 01	 32191	 GIN
100	 01	 321911	 GIN
100	 01	 321912	 GIN
100	 01	 321918	 GIN
100	 01	 32192	 GIN
100	 01	 321920	 GIN
100	 01	 32199	 GIN
100	 01	 321991	 GIN
100	 01	 321992	 GIN
100	 01	 321999	 GIN
100	 01	 3221	 GIN
100	 01	 32211	 GIN
100	 01	 322110	 GIN
100	 01	 32212	 GIN
100	 01	 322121	 GIN
100	 01	 322122	 GIN
100	 01	 32213	 GIN
100	 01	 322130	 GIN
100	 01	 3222	 GIN
100	 01	 32221	 GIN
100	 01	 322211	 GIN
100	 01	 322212	 GIN
100	 01	 322213	 GIN
100	 01	 322214	 GIN
100	 01	 322215	 GIN
100	 01	 322219	 GIN
100	 01	 32222	 GIN
100	 01	 322220	 GIN
100	 01	 322221	 GIN
100	 01	 322222	 GIN
100	 01	 322223	 GIN
100	 01	 322224	 GIN
100	 01	 322225	 GIN
100	 01	 322226	 GIN
100	 01	 32223	 GIN
100	 01	 322230	 GIN
100	 01	 322231	 GIN
100	 01	 322232	 GIN
100	 01	 322233	 GIN
100	 01	 32229	 GIN
100	 01	 322291	 GIN
100	 01	 322299	 GIN
100	 01	 3231	 GIN
100	 01	 32311	 GIN
100	 01	 323110	 GIN
100	 01	 323111	 GIN
100	 01	 323112	 GIN
100	 01	 323113	 GIN
100	 01	 323114	 GIN
100	 01	 323115	 GIN
100	 01	 323116	 GIN
100	 01	 323117	 GIN
100	 01	 323118	 GIN
100	 01	 323119	 GIN
100	 01	 32312	 GIN
100	 01	 323120	 GIN
100	 01	 323121	 GIN
100	 01	 323122	 GIN
100	 01	 3241	 GIN
100	 01	 32411	 GIN
100	 01	 324110	 GIN
100	 01	 32412	 GIN
100	 01	 324121	 GIN
100	 01	 324122	 GIN
100	 01	 32419	 GIN
100	 01	 324191	 GIN
100	 01	 324199	 GIN
100	 01	 3251	 GIN
100	 01	 32511	 GIN
100	 01	 325110	 GIN
100	 01	 32512	 GIN
100	 01	 325120	 GIN
100	 01	 32513	 GIN
100	 01	 325130	 GIN
100	 01	 325131	 GIN
100	 01	 325132	 GIN
100	 01	 32518	 GIN
100	 01	 325180	 GIN
100	 01	 325181	 GIN
100	 01	 325182	 GIN
100	 01	 325188	 GIN
100	 01	 32519	 GIN
100	 01	 325191	 GIN
100	 01	 325192	 GIN
100	 01	 325193	 GIN
100	 01	 325194	 GIN
100	 01	 325199	 GIN
100	 01	 3252	 GIN
100	 01	 32521	 GIN
100	 01	 325211	 GIN
100	 01	 325212	 GIN
100	 01	 32522	 GIN
100	 01	 325220	 GIN
100	 01	 325221	 GIN
100	 01	 325222	 GIN
100	 01	 3253	 GIN
100	 01	 32531	 GIN
100	 01	 325311	 GIN
100	 01	 325312	 GIN
100	 01	 325314	 GIN
100	 01	 32532	 GIN
100	 01	 325320	 GIN
100	 01	 3254	 GIN
100	 01	 32541	 GIN
100	 01	 325411	 GIN
100	 01	 325412	 GIN
100	 01	 325413	 GIN
100	 01	 325414	 GIN
100	 01	 3255	 GIN
100	 01	 32551	 GIN
100	 01	 325510	 GIN
100	 01	 32552	 GIN
100	 01	 325520	 GIN
100	 01	 3256	 GIN
100	 01	 32561	 GIN
100	 01	 325611	 GIN
100	 01	 325612	 GIN
100	 01	 325613	 GIN
100	 01	 32562	 GIN
100	 01	 325620	 GIN
100	 01	 3259	 GIN
100	 01	 32591	 GIN
100	 01	 325910	 GIN
100	 01	 32592	 GIN
100	 01	 325920	 GIN
100	 01	 32599	 GIN
100	 01	 325991	 GIN
100	 01	 325992	 GIN
100	 01	 325998	 GIN
100	 01	 3261	 GIN
100	 01	 32611	 GIN
100	 01	 326111	 GIN
100	 01	 326112	 GIN
100	 01	 326113	 GIN
100	 01	 32612	 GIN
100	 01	 326121	 GIN
100	 01	 326122	 GIN
100	 01	 32613	 GIN
100	 01	 326130	 GIN
100	 01	 32614	 GIN
100	 01	 326140	 GIN
100	 01	 32615	 GIN
100	 01	 326150	 GIN
100	 01	 32616	 GIN
100	 01	 326160	 GIN
100	 01	 32619	 GIN
100	 01	 326191	 GIN
100	 01	 326192	 GIN
100	 01	 326199	 GIN
100	 01	 3262	 GIN
100	 01	 32621	 GIN
100	 01	 326211	 GIN
100	 01	 326212	 GIN
100	 01	 32622	 GIN
100	 01	 326220	 GIN
100	 01	 32629	 GIN
100	 01	 326291	 GIN
100	 01	 326299	 GIN
100	 01	 3271	 GIN
100	 01	 32711	 GIN
100	 01	 327110	 GIN
100	 01	 327111	 GIN
100	 01	 327112	 GIN
100	 01	 327113	 GIN
100	 01	 32712	 GIN
100	 01	 327120	 GIN
100	 01	 327121	 GIN
100	 01	 327122	 GIN
100	 01	 327123	 GIN
100	 01	 327124	 GIN
100	 01	 327125	 GIN
100	 01	 3272	 GIN
100	 01	 32721	 GIN
100	 01	 327211	 GIN
100	 01	 327212	 GIN
100	 01	 327213	 GIN
100	 01	 327215	 GIN
100	 01	 3273	 GIN
100	 01	 32731	 GIN
100	 01	 327310	 GIN
100	 01	 32732	 GIN
100	 01	 327320	 GIN
100	 01	 32733	 GIN
100	 01	 327331	 GIN
100	 01	 327332	 GIN
100	 01	 32739	 GIN
100	 01	 327390	 GIN
100	 01	 3274	 GIN
100	 01	 32741	 GIN
100	 01	 327410	 GIN
100	 01	 32742	 GIN
100	 01	 327420	 GIN
100	 01	 3279	 GIN
100	 01	 32791	 GIN
100	 01	 327910	 GIN
100	 01	 32799	 GIN
100	 01	 327991	 GIN
100	 01	 327992	 GIN
100	 01	 327993	 GIN
100	 01	 327999	 GIN
100	 01	 3311	 GIN
100	 01	 33111	 GIN
100	 01	 331110	 GIN
100	 01	 331111	 GIN
100	 01	 331112	 GIN
100	 01	 3312	 GIN
100	 01	 33121	 GIN
100	 01	 331210	 GIN
100	 01	 33122	 GIN
100	 01	 331221	 GIN
100	 01	 331222	 GIN
100	 01	 3313	 GIN
100	 01	 33131	 GIN
100	 01	 331311	 GIN
100	 01	 331312	 GIN
100	 01	 331313	 GIN
100	 01	 331314	 GIN
100	 01	 331315	 GIN
100	 01	 331316	 GIN
100	 01	 331318	 GIN
100	 01	 331319	 GIN
100	 01	 3314	 GIN
100	 01	 33141	 GIN
100	 01	 331410	 GIN
100	 01	 331411	 GIN
100	 01	 331419	 GIN
100	 01	 33142	 GIN
100	 01	 331420	 GIN
100	 01	 331421	 GIN
100	 01	 331422	 GIN
100	 01	 331423	 GIN
100	 01	 33149	 GIN
100	 01	 331491	 GIN
100	 01	 331492	 GIN
100	 01	 3315	 GIN
100	 01	 33151	 GIN
100	 01	 331511	 GIN
100	 01	 331512	 GIN
100	 01	 331513	 GIN
100	 01	 33152	 GIN
100	 01	 331521	 GIN
100	 01	 331522	 GIN
100	 01	 331523	 GIN
100	 01	 331524	 GIN
100	 01	 331525	 GIN
100	 01	 331528	 GIN
100	 01	 331529	 GIN
100	 01	 3321	 GIN
100	 01	 33211	 GIN
100	 01	 332111	 GIN
100	 01	 332112	 GIN
100	 01	 332114	 GIN
100	 01	 332115	 GIN
100	 01	 332116	 GIN
100	 01	 332117	 GIN
100	 01	 332119	 GIN
100	 01	 3322	 GIN
100	 01	 33221	 GIN
100	 01	 332211	 GIN
100	 01	 332212	 GIN
100	 01	 332213	 GIN
100	 01	 332214	 GIN
100	 01	 332215	 GIN
100	 01	 332216	 GIN
100	 01	 3323	 GIN
100	 01	 33231	 GIN
100	 01	 332311	 GIN
100	 01	 332312	 GIN
100	 01	 332313	 GIN
100	 01	 33232	 GIN
100	 01	 332321	 GIN
100	 01	 332322	 GIN
100	 01	 332323	 GIN
100	 01	 3324	 GIN
100	 01	 33241	 GIN
100	 01	 332410	 GIN
100	 01	 33242	 GIN
100	 01	 332420	 GIN
100	 01	 33243	 GIN
100	 01	 332431	 GIN
100	 01	 332439	 GIN
100	 01	 3325	 GIN
100	 01	 33251	 GIN
100	 01	 332510	 GIN
100	 01	 3326	 GIN
100	 01	 33261	 GIN
100	 01	 332611	 GIN
100	 01	 332612	 GIN
100	 01	 332613	 GIN
100	 01	 332618	 GIN
100	 01	 3327	 GIN
100	 01	 33271	 GIN
100	 01	 332710	 GIN
100	 01	 33272	 GIN
100	 01	 332721	 GIN
100	 01	 332722	 GIN
100	 01	 3328	 GIN
100	 01	 33281	 GIN
100	 01	 332811	 GIN
100	 01	 332812	 GIN
100	 01	 332813	 GIN
100	 01	 3329	 GIN
100	 01	 33291	 GIN
100	 01	 332911	 GIN
100	 01	 332912	 GIN
100	 01	 332913	 GIN
100	 01	 332919	 GIN
100	 01	 33299	 GIN
100	 01	 332991	 GIN
100	 01	 332992	 GIN
100	 01	 332993	 GIN
100	 01	 332994	 GIN
100	 01	 332995	 GIN
100	 01	 332996	 GIN
100	 01	 332997	 GIN
100	 01	 332998	 GIN
100	 01	 332999	 GIN
100	 01	 3331	 GIN
100	 01	 33311	 GIN
100	 01	 333111	 GIN
100	 01	 333112	 GIN
100	 01	 33312	 GIN
100	 01	 333120	 GIN
100	 01	 33313	 GIN
100	 01	 333131	 GIN
100	 01	 333132	 GIN
100	 01	 3332	 GIN
100	 01	 33321	 GIN
100	 01	 333210	 GIN
100	 01	 33322	 GIN
100	 01	 333220	 GIN
100	 01	 333249	 GIN
100	 01	 33329	 GIN
100	 01	 333291	 GIN
100	 01	 333292	 GIN
100	 01	 333293	 GIN
100	 01	 333294	 GIN
100	 01	 333295	 GIN
100	 01	 333298	 GIN
100	 01	 3333	 GIN
100	 01	 33331	 GIN
100	 01	 333311	 GIN
100	 01	 333312	 GIN
100	 01	 333313	 GIN
100	 01	 333314	 GIN
100	 01	 333315	 GIN
100	 01	 333316	 GIN
100	 01	 333318	 GIN
100	 01	 333319	 GIN
100	 01	 3334	 GIN
100	 01	 33341	 GIN
100	 01	 333411	 GIN
100	 01	 333412	 GIN
100	 01	 333414	 GIN
100	 01	 333415	 GIN
100	 01	 3335	 GIN
100	 01	 33351	 GIN
100	 01	 333511	 GIN
100	 01	 333512	 GIN
100	 01	 333513	 GIN
100	 01	 333514	 GIN
100	 01	 333515	 GIN
100	 01	 333516	 GIN
100	 01	 333517	 GIN
100	 01	 333518	 GIN
100	 01	 3336	 GIN
100	 01	 33361	 GIN
100	 01	 333611	 GIN
100	 01	 333612	 GIN
100	 01	 333613	 GIN
100	 01	 333618	 GIN
100	 01	 3339	 GIN
100	 01	 33391	 GIN
100	 01	 333911	 GIN
100	 01	 333912	 GIN
100	 01	 333913	 GIN
100	 01	 33392	 GIN
100	 01	 333921	 GIN
100	 01	 333922	 GIN
100	 01	 333923	 GIN
100	 01	 333924	 GIN
100	 01	 33399	 GIN
100	 01	 333991	 GIN
100	 01	 333992	 GIN
100	 01	 333993	 GIN
100	 01	 333994	 GIN
100	 01	 333995	 GIN
100	 01	 333996	 GIN
100	 01	 333997	 GIN
100	 01	 333999	 GIN
100	 01	 333999A	 MVI
100	 01	 3341	 GIN
100	 01	 33411	 GIN
100	 01	 334111	 GIN
100	 01	 334112	 GIN
100	 01	 334113	 GIN
100	 01	 334118	 GIN
100	 01	 334119	 GIN
100	 01	 3342	 GIN
100	 01	 33421	 GIN
