Tcodes linked with single role


MANDT	 AGR_NAME	 TCODE
X	 X	 X
MANDT-CLNT(3)	 AGR_NAME-CHAR(30)	 EXTDREPORT-CHAR(48)
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013618
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013619
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013620
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013621
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013622
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013623
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013624
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013625
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013626
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013627
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013628
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013629
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013630
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013631
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013632
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013633
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013634
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013635
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013636
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013637
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013638
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013639
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013640
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013641
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013642
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013643
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013644
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013645
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013646
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013647
100	 ZCQCA_RDC_CO_REPORTING	 S_ALR_87013648
100	 ZCQCA_RDC_CO_REPORTING	 S_EBS_44000565
100	 ZCQCA_RDC_CO_REPORTING	 S_P99_41000117
100	 ZCQCA_RDC_CO_REPORTING	 S_P99_41000118
100	 ZCQCA_RDC_CO_REPORTING	 VF43
100	 ZCQCA_RDC_CO_REPORTING	 VF45
100	 ZCQCA_RDC_CO_REPORTING	 YAM_COPA_LOG
100	 ZCQCA_RDC_CO_REPORTING	 YAM_RECON_VAN
100	 ZCQCA_RDC_CO_REPORTING	 YAM_RECON_WIP
100	 ZCQCA_RDC_CO_REPORTING	 YSE_AM_REV
100	 ZCQCA_RDC_CO_REPORTING	 YSE_AM_WIP
100	 ZCQCA_RDC_CO_REPORTING	 YSE_AM_WIP_DISP
100	 ZCQCA_RDC_CO_REPORTING	 YSE_CONDITION_PB00
100	 ZCQCA_RDC_CO_REPORTING	 YSE_CT_OR
100	 ZCQCA_RDC_CO_REPORTING	 YSE_FI_AM_LST_31
100	 ZCQCA_RDC_CO_REPORTING	 YSE_FI_REP_RR_CHECK
100	 ZCQCA_RDC_CO_REPORTING	 YSE_FI_REP_SPAPRICE
100	 ZCQCA_RDC_CO_REPORTING	 YSE_FI_WIPAGEING_REB
100	 ZCQCA_RDC_CO_REPORTING	 YSE_HRS_KF
100	 ZCQCA_RDC_CO_REPORTING	 YSE_SL_REPORTING
100	 ZCQCA_RDC_CO_REPORTING	 YSE_SL_REP_EMPLOYEE
100	 ZCQCA_RDC_CO_REPORTING	 YSE_SL_REP_OPENPO
100	 ZCQCA_RDC_CO_REPORTING	 YSE_SL_REP_OPENPOEXT
100	 ZCQCA_RDC_CO_REPORTING	 YSE_SO_COPA_EQUIP
100	 ZCQCA_RDC_CO_REPORTING	 ZVF45
100	 ZCQCA_RDC_CO_REPORTING	 Z_ACT_HRS
100	 ZCQCA_RDC_CS_BILLING	 DP90
100	 ZCQCA_RDC_CS_BILLING	 DP91
100	 ZCQCA_RDC_CS_BILLING	 DP95
100	 ZCQCA_RDC_CS_BILLING	 DP96
100	 ZCQCA_RDC_CS_BILLING	 DP97
100	 ZCQCA_RDC_CS_BILLING	 DP98
100	 ZCQCA_RDC_CS_BILLING	 DP99A
100	 ZCQCA_RDC_CS_BILLING	 DP99B
100	 ZCQCA_RDC_CS_BILLING	 V.07
100	 ZCQCA_RDC_CS_BILLING	 V.21
100	 ZCQCA_RDC_CS_BILLING	 V23
100	 ZCQCA_RDC_CS_BILLING	 VF01
100	 ZCQCA_RDC_CS_BILLING	 VF02
100	 ZCQCA_RDC_CS_BILLING	 VF04
100	 ZCQCA_RDC_CS_BILLING	 VF05
100	 ZCQCA_RDC_CS_BILLING	 VF05N
100	 ZCQCA_RDC_CS_BILLING	 VF06
100	 ZCQCA_RDC_CS_BILLING	 VF07
100	 ZCQCA_RDC_CS_BILLING	 VF11
100	 ZCQCA_RDC_CS_BILLING	 VF21
100	 ZCQCA_RDC_CS_BILLING	 VF24
100	 ZCQCA_RDC_CS_BILLING	 VF31
100	 ZCQCA_RDC_CS_BILLING	 VFRB
100	 ZCQCA_RDC_CS_BILLING	 VFX3
100	 ZCQCA_RDC_CS_BILLING	 VV31
100	 ZCQCA_RDC_CS_BILLING	 VV32
100	 ZCQCA_RDC_CS_BILLING	 YAM_BILL_DUE_LIST
100	 ZCQCA_RDC_CS_BILLING	 YAM_RECON_INV
100	 ZCQCA_RDC_CS_BILLING	 YAM_RECON_INV_PROF
100	 ZCQCA_RDC_CS_BILLING	 YAM_RECON_IORD
100	 ZCQCA_RDC_CS_BILLING	 YSE_EMSE
100	 ZCQCA_RDC_CS_DISPLAY	 CM01
100	 ZCQCA_RDC_CS_DISPLAY	 CM02
100	 ZCQCA_RDC_CS_DISPLAY	 CM03
100	 ZCQCA_RDC_CS_DISPLAY	 CM04
100	 ZCQCA_RDC_CS_DISPLAY	 CM05
100	 ZCQCA_RDC_CS_DISPLAY	 CM07
100	 ZCQCA_RDC_CS_DISPLAY	 CR03
100	 ZCQCA_RDC_CS_DISPLAY	 CR06
100	 ZCQCA_RDC_CS_DISPLAY	 IA07
100	 ZCQCA_RDC_CS_DISPLAY	 IE03
100	 ZCQCA_RDC_CS_DISPLAY	 IH08
100	 ZCQCA_RDC_CS_DISPLAY	 IH10
100	 ZCQCA_RDC_CS_DISPLAY	 IH11
100	 ZCQCA_RDC_CS_DISPLAY	 IK03
100	 ZCQCA_RDC_CS_DISPLAY	 IK06
100	 ZCQCA_RDC_CS_DISPLAY	 IK07
100	 ZCQCA_RDC_CS_DISPLAY	 IK13
100	 ZCQCA_RDC_CS_DISPLAY	 IL03
100	 ZCQCA_RDC_CS_DISPLAY	 IL13
100	 ZCQCA_RDC_CS_DISPLAY	 IP03
100	 ZCQCA_RDC_CS_DISPLAY	 IP06
100	 ZCQCA_RDC_CS_DISPLAY	 IP12
100	 ZCQCA_RDC_CS_DISPLAY	 IP16
100	 ZCQCA_RDC_CS_DISPLAY	 IP18
100	 ZCQCA_RDC_CS_DISPLAY	 IQ03
100	 ZCQCA_RDC_CS_DISPLAY	 IQ09
100	 ZCQCA_RDC_CS_DISPLAY	 IR03
100	 ZCQCA_RDC_CS_DISPLAY	 IW33
100	 ZCQCA_RDC_CS_DISPLAY	 IW3M
100	 ZCQCA_RDC_CS_DISPLAY	 IW40
100	 ZCQCA_RDC_CS_DISPLAY	 IW43
100	 ZCQCA_RDC_CS_DISPLAY	 IW47
100	 ZCQCA_RDC_CS_DISPLAY	 IW49
100	 ZCQCA_RDC_CS_DISPLAY	 IW49N
100	 ZCQCA_RDC_CS_DISPLAY	 IW53
100	 ZCQCA_RDC_CS_DISPLAY	 IW63
100	 ZCQCA_RDC_CS_DISPLAY	 IW73
100	 ZCQCA_RDC_CS_DISPLAY	 IW75
100	 ZCQCA_RDC_CS_DISPLAY	 KCH3
100	 ZCQCA_RDC_CS_DISPLAY	 KCH6
100	 ZCQCA_RDC_CS_DISPLAY	 KCH6N
100	 ZCQCA_RDC_CS_DISPLAY	 KE24
100	 ZCQCA_RDC_CS_DISPLAY	 KE30
100	 ZCQCA_RDC_CS_DISPLAY	 KE53
100	 ZCQCA_RDC_CS_DISPLAY	 KEO3
100	 ZCQCA_RDC_CS_DISPLAY	 KKAC
100	 ZCQCA_RDC_CS_DISPLAY	 KL03
100	 ZCQCA_RDC_CS_DISPLAY	 KS03
100	 ZCQCA_RDC_CS_DISPLAY	 MB03
100	 ZCQCA_RDC_CS_DISPLAY	 MB51
100	 ZCQCA_RDC_CS_DISPLAY	 MB52
100	 ZCQCA_RDC_CS_DISPLAY	 ME23N
100	 ZCQCA_RDC_CS_DISPLAY	 MM03
100	 ZCQCA_RDC_CS_DISPLAY	 MM04
100	 ZCQCA_RDC_CS_DISPLAY	 S_ALR_87012215
100	 ZCQCA_RDC_CS_DISPLAY	 V23
100	 ZCQCA_RDC_CS_DISPLAY	 VA03
100	 ZCQCA_RDC_CS_DISPLAY	 VA23
100	 ZCQCA_RDC_CS_DISPLAY	 VA25
100	 ZCQCA_RDC_CS_DISPLAY	 VA25N
100	 ZCQCA_RDC_CS_DISPLAY	 VA43
100	 ZCQCA_RDC_CS_DISPLAY	 VA45
100	 ZCQCA_RDC_CS_DISPLAY	 VF03
100	 ZCQCA_RDC_CS_DISPLAY	 XD03
100	 ZCQCA_RDC_CS_DISPLAY	 YAM_FIFI
100	 ZCQCA_RDC_CS_DISPLAY	 YAM_REPORT
100	 ZCQCA_RDC_CS_DISPLAY	 YSE_AM_WS1
100	 ZCQCA_RDC_CS_DISPLAY	 YSE_CLOSE_SEO_LOG
100	 ZCQCA_RDC_CS_DISPLAY	 YSE_DP_LIST
100	 ZCQCA_RDC_CS_DISPLAY	 YSE_EMSQ
100	 ZCQCA_RDC_CS_DISPLAY	 YSE_FI_REP_EXCH
100	 ZCQCA_RDC_CS_DISPLAY	 YSE_PREPAYM_EXT
100	 ZCQCA_RDC_CS_GOODS_MOV	 CO09
100	 ZCQCA_RDC_CS_GOODS_MOV	 COGI
100	 ZCQCA_RDC_CS_GOODS_MOV	 HUCANC
100	 ZCQCA_RDC_CS_GOODS_MOV	 IW3M
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB01
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB02
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB03
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB04
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB0A
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB11
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB1A
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB1B
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB1C
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB21
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB22
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB23
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB24
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB25
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB26
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB51
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB52
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB58
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB5B
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB5T
100	 ZCQCA_RDC_CS_GOODS_MOV	 MB90
100	 ZCQCA_RDC_CS_GOODS_MOV	 MBBS
100	 ZCQCA_RDC_CS_GOODS_MOV	 MBRL
100	 ZCQCA_RDC_CS_GOODS_MOV	 MBSF
100	 ZCQCA_RDC_CS_GOODS_MOV	 MBST
100	 ZCQCA_RDC_CS_GOODS_MOV	 MIGO
100	 ZCQCA_RDC_CS_GOODS_MOV	 MMSC
