Table for profit centre derivation rules


MANDT	 PRCTR	 SEGMENT	 YVALFROM	 YVALTO
X	 X	 X	 X	
MANDT-CLNT(3)	 PRCTR-CHAR(10)	 FB_SEGMENT-CHAR(10)	 TTE_DT_VALIDFR-DATS(8)	 DATS-DATS(8)
100	 42J	 APW	 20160101	 20170131
100	 42L	 APE	 20170201	 99991231
100	 42L	 APW	 20160101	 20170131
100	 42M	 APE	 20170201	 99991231
100	 42M	 APW	 20160101	 20170131
100	 42Q	 APE	 20170201	 99991231
100	 42Q	 APW	 20160101	 20170131
100	 42S	 APW	 20160101	 99991231
100	 42U	 AW1	 20160101	 99991231
100	 42X	 0000001330	 20120601	 20151231
100	 42X	 APE	 20170201	 99991231
100	 42X	 APW	 20160101	 20170131
100	 42Y	 APE	 20170201	 99991231
100	 42Y	 APW	 20160101	 20170131
100	 45A	 AVR	 20140201	 99991231
100	 45H	 QAM	 20120101	 99991231
100	 45V	 QAM	 20120101	 99991231
100	 46H	 QAM	 20120101	 99991231
100	 46P	 QAM	 20120101	 99991231
100	 49J	 0000001611	 20120601	 99991231
100	 49M	 0000001611	 20120601	 99991231
100	 49V	 0000001611	 20120601	 99991231
100	 49Y	 0000001611	 20120601	 99991231
100	 4C	 APE	 20170201	 99991231
100	 4EB	 0000001611	 20120601	 99991231
100	 4LX	 APE	 20170201	 99991231
100	 4LX	 APW	 20160101	 20170131
100	 4PF	 APE	 20170201	 99991231
100	 4PI	 APE	 20170201	 99991231
100	 4PP	 APE	 20170201	 99991231
100	 4PP	 APW	 20160101	 20170131
100	 4PS	 APE	 20170201	 99991231
100	 4PS	 APW	 20160101	 20170131
100	 4PV	 APE	 20170201	 99991231
100	 4PZ	 APE	 20170201	 99991231
100	 50A	 GAS	 20140101	 99991231
100	 50B	 GAS	 20140101	 99991231
100	 50M	 GAS	 20140101	 99991231
100	 50S	 GAS	 20140101	 99991231
100	 50T	 GAS	 20140101	 99991231
100	 50U	 GAS	 20140101	 99991231
100	 50V	 GAS	 20140101	 99991231
100	 51M	 0000001120	 20150101	 99991231
100	 51M	 0000001211	 20120601	 20141231
100	 51T	 0000001120	 20150101	 99991231
100	 51T	 0000001211	 20120601	 20141231
100	 51Y	 0000001120	 20150101	 99991231
100	 51Y	 0000001211	 20120601	 20141231
100	 52O	 GPP	 20150101	 99991231
100	 52U	 GPP	 20150101	 99991231
100	 52V	 0000001611	 20120601	 99991231
100	 53B	 GAE	 20140101	 99991231
100	 56M	 GAE	 20140101	 99991231
100	 58K	 0000001211	 20120601	 99991231
100	 58R	 0000001120	 20150101	 99991231
100	 58R	 0000001211	 20120601	 20141231
100	 58Z	 0000001120	 20150101	 99991231
100	 58Z	 0000001211	 20120601	 20141231
100	 71C	 0000002110	 20140101	 99991231
100	 73A	 0000002310	 20140101	 99991231
100	 73B	 0000002310	 20140101	 99991231
100	 73C	 0000002310	 20140101	 99991231
100	 73D	 0000002310	 20140101	 99991231
100	 73E	 0000002310	 20140101	 99991231
100	 73F	 0000002310	 20140101	 99991231
100	 73G	 0000002310	 20140101	 99991231
100	 74A	 0000002310	 20140101	 99991231
100	 74B	 0000002310	 20140101	 99991231
100	 811P	 0000002740	 20150101	 99991231
100	 81A	 MRS	 20120101	 99991231
100	 81B	 CRS	 20120101	 99991231
100	 81D	 MRS	 20120101	 99991231
100	 81E	 MRS	 20120101	 99991231
100	 81F	 MRS	 20120101	 99991231
100	 81K	 MRS	 20120101	 99991231
100	 81P	 0000002740	 20150101	 99991231
100	 81P	 CRS	 20120101	 20141231
100	 82A	 MRS	 20120101	 99991231
100	 82B	 CRS	 20120101	 99991231
100	 82D	 MRS	 20120101	 99991231
100	 82E	 MRS	 20120101	 99991231
100	 82F	 MRS	 20120101	 99991231
100	 82K	 MRS	 20120101	 99991231
100	 82P	 0000002740	 20150101	 99991231
100	 82P	 CRS	 20120101	 20141231
100	 84A	 MRS	 20120101	 99991231
100	 85A	 MRS	 20120101	 99991231
100	 85B	 CRS	 20120101	 99991231
100	 85D	 MRS	 20120101	 99991231
100	 85E	 MRS	 20120101	 99991231
100	 85F	 MRS	 20120101	 99991231
100	 85K	 MRS	 20120101	 99991231
100	 85P	 0000002740	 20150101	 99991231
100	 85P	 CRS	 20120101	 20141231
100	 86A	 MRS	 20120101	 99991231
100	 86F	 MRS	 20120101	 99991231
100	 86K	 MRS	 20120101	 99991231
100	 87TA	 0000002410	 20150101	 99991231
100	 87TF	 0000002410	 20150101	 99991231
100	 87TI	 0000002410	 20150101	 99991231
100	 87TJ	 0000002410	 20150101	 99991231
100	 87TU	 0000002410	 20150101	 99991231
100	 88TQ	 0000002410	 20150101	 99991231
100	 88Y	 0000002740	 20150101	 99991231
