AM: Accounting indicator default


MANDT	 SWERK	 AUART_PM	 AUART_SD	 BEMOT_NW	 BEMOT_CW	 BEMOT_VW
X	 X	 X	 X	 	 	
MANDT-CLNT(3)	 WERKS-CHAR(4)	 AUFART-CHAR(4)	 AUART-CHAR(4)	 BEMOT-CHAR(2)	 BEMOT-CHAR(2)	 BEMOT-CHAR(2)
100	 AFRA	 ZSM3	 ZSM6	 FW	 FW	 FW
100	 AFRA	 ZSM3	 ZSM7	 SP	 SP	 SP
100	 AFRA	 ZSM4	 	 PG	 PG	 PG
100	 AFRA	 ZSM5	 	 NP	 NP	 NP
100	 BGAA	 ZSM1	 ZSM1	 SB	 GL	 PG
100	 BGAA	 ZSM1	 ZSM2	 CH	 GL	 PG
100	 BGAA	 ZSM1	 ZSM3	 CH	 GL	 PG
100	 BGAA	 ZSM1	 ZSM4	 CW	 GL	 PG
100	 BGAA	 ZSM1	 ZSM5	 CH	 GL	 PG
100	 BGAA	 ZSM1	 ZSM6	 FW	 FW	 FW
100	 BGAA	 ZSM1	 ZSM7	 SP	 SP	 SP
100	 BGAA	 ZSM2	 	 CH	 GL	 PG
100	 BGAA	 ZSM3	 ZSM1	 SP	 SP	 SP
100	 BGAA	 ZSM3	 ZSM2	 SP	 SP	 SP
100	 BGAA	 ZSM3	 ZSM3	 SP	 SP	 SP
100	 BGAA	 ZSM3	 ZSM4	 SP	 SP	 SP
100	 BGAA	 ZSM3	 ZSM5	 SP	 SP	 SP
100	 BGAA	 ZSM3	 ZSM6	 FW	 FW	 FW
100	 BGAA	 ZSM3	 ZSM7	 SP	 SP	 SP
100	 BGAA	 ZSM4	 	 PG	 PG	 PG
100	 BGAA	 ZSM5	 	 NP	 NP	 NP
100	 CHAA	 ZSM1	 ZSM1	 SB	 SB	 PG
100	 CHAA	 ZSM1	 ZSM2	 CH	 CH	 PG
100	 CHAA	 ZSM1	 ZSM3	 CH	 CH	 PG
100	 CHAA	 ZSM1	 ZSM4	 CW	 CW	 PG
100	 CHAA	 ZSM1	 ZSM5	 CH	 CH	 PG
100	 CHAA	 ZSM1	 ZSM6	 FW	 FW	 FW
100	 CHAA	 ZSM1	 ZSM7	 SP	 SP	 SP
100	 CHAA	 ZSM2	 	 CH	 IC	 PG
100	 CHAA	 ZSM3	 ZSM1	 SP	 SP	 SP
100	 CHAA	 ZSM3	 ZSM2	 SP	 SP	 SP
100	 CHAA	 ZSM3	 ZSM3	 SP	 SP	 SP
100	 CHAA	 ZSM3	 ZSM4	 SP	 SP	 SP
100	 CHAA	 ZSM3	 ZSM5	 SP	 SP	 SP
100	 CHAA	 ZSM3	 ZSM6	 FW	 FW	 FW
100	 CHAA	 ZSM3	 ZSM7	 SP	 SP	 SP
100	 CHAA	 ZSM4	 	 PG	 PG	 PG
100	 CHAA	 ZSM5	 	 NP	 NP	 NP
100	 CPRA	 ZSM1	 ZSM1	 SB	 SB	 SB
100	 CPRA	 ZSM1	 ZSM2	 CH	 CH	 CH
100	 CPRA	 ZSM1	 ZSM3	 CH	 CH	 CH
100	 CPRA	 ZSM1	 ZSM4	 CW	 CW	 PG
100	 CPRA	 ZSM1	 ZSM5	 CH	 CH	 CH
100	 CPRA	 ZSM1	 ZSM6	 FW	 FW	 FW
100	 CPRA	 ZSM1	 ZSM7	 SP	 SP	 SP
100	 CPRA	 ZSM2	 	 CH	 GL	 CH
100	 CPRA	 ZSM3	 ZSM1	 SP	 SP	 SP
100	 CPRA	 ZSM3	 ZSM2	 SP	 SP	 SP
100	 CPRA	 ZSM3	 ZSM3	 SP	 SP	 SP
100	 CPRA	 ZSM3	 ZSM4	 SP	 SP	 SP
100	 CPRA	 ZSM3	 ZSM5	 SP	 SP	 SP
100	 CPRA	 ZSM3	 ZSM6	 FW	 FW	 FW
100	 CPRA	 ZSM3	 ZSM7	 SP	 SP	 SP
100	 CPRA	 ZSM4	 	 PG	 PG	 PG
100	 CPRA	 ZSM5	 	 NP	 NP	 NP
100	 ESAA	 ZSM1	 ZSM1	 SB	 SB	 PG
100	 ESAA	 ZSM1	 ZSM2	 SB	 SB	 PG
100	 ESAA	 ZSM1	 ZSM3	 SB	 SB	 PG
100	 ESAA	 ZSM1	 ZSM4	 CW	 CW	 PG
100	 ESAA	 ZSM1	 ZSM5	 SB	 SB	 PG
100	 ESAA	 ZSM1	 ZSM6	 FW	 FW	 FW
100	 ESAA	 ZSM1	 ZSM7	 SP	 SP	 SP
100	 ESAA	 ZSM2	 	 CH	 GL	 PG
100	 ESAA	 ZSM3	 ZSM1	 SP	 SP	 SP
100	 ESAA	 ZSM3	 ZSM2	 SP	 SP	 SP
100	 ESAA	 ZSM3	 ZSM3	 SP	 SP	 SP
100	 ESAA	 ZSM3	 ZSM4	 CW	 CW	 CW
100	 ESAA	 ZSM3	 ZSM5	 SP	 SP	 SP
100	 ESAA	 ZSM3	 ZSM6	 FW	 FW	 FW
100	 ESAA	 ZSM3	 ZSM7	 SP	 SP	 SP
100	 ESAA	 ZSM4	 	 PG	 PG	 PG
100	 ESAA	 ZSM5	 	 NP	 NP	 NP
100	 GBAA	 ZSM1	 ZSM1	 SB	 SB	 PG
100	 GBAA	 ZSM1	 ZSM2	 CH	 CH	 PG
100	 GBAA	 ZSM1	 ZSM3	 CH	 CH	 PG
100	 GBAA	 ZSM1	 ZSM4	 CW	 CW	 PG
100	 GBAA	 ZSM1	 ZSM5	 CH	 CH	 PG
100	 GBAA	 ZSM1	 ZSM6	 FW	 FW	 FW
100	 GBAA	 ZSM1	 ZSM7	 SP	 SP	 SP
100	 GBAA	 ZSM2	 	 CH	 GL	 PG
100	 GBAA	 ZSM3	 ZSM1	 SP	 SP	 SP
100	 GBAA	 ZSM3	 ZSM2	 SP	 SP	 SP
100	 GBAA	 ZSM3	 ZSM3	 SP	 SP	 SP
100	 GBAA	 ZSM3	 ZSM4	 CW	 CW	 CW
100	 GBAA	 ZSM3	 ZSM5	 SP	 SP	 SP
100	 GBAA	 ZSM3	 ZSM6	 FW	 FW	 FW
100	 GBAA	 ZSM3	 ZSM7	 SP	 SP	 SP
100	 GBAA	 ZSM4	 	 PG	 PG	 PG
100	 GBAA	 ZSM5	 	 NP	 NP	 NP
100	 IYAA	 ZSM1	 ZSM1	 SB	 SB	 PG
100	 IYAA	 ZSM1	 ZSM2	 CH	 SB	 PG
100	 IYAA	 ZSM1	 ZSM3	 CH	 SB	 PG
100	 IYAA	 ZSM1	 ZSM4	 CW	 CW	 PG
100	 IYAA	 ZSM1	 ZSM5	 SB	 SB	 PG
100	 IYAA	 ZSM1	 ZSM6	 FW	 FW	 FW
100	 IYAA	 ZSM1	 ZSM7	 SP	 SP	 SP
100	 IYAA	 ZSM2	 	 CH	 GL	 PG
100	 IYAA	 ZSM3	 ZSM1	 SP	 SP	 SP
100	 IYAA	 ZSM3	 ZSM2	 SP	 SP	 SP
100	 IYAA	 ZSM3	 ZSM3	 SP	 SP	 SP
100	 IYAA	 ZSM3	 ZSM4	 CW	 CW	 CW
100	 IYAA	 ZSM3	 ZSM5	 SP	 SP	 SP
100	 IYAA	 ZSM3	 ZSM6	 FW	 FW	 FW
100	 IYAA	 ZSM3	 ZSM7	 SP	 SP	 SP
100	 IYAA	 ZSM4	 	 PG	 PG	 PG
100	 IYAA	 ZSM5	 	 NP	 NP	 NP
100	 NLAA	 ZSM1	 ZSM1	 SB	 SB	 PG
100	 NLAA	 ZSM1	 ZSM2	 CH	 GL	 PG
100	 NLAA	 ZSM1	 ZSM3	 CH	 GL	 PG
100	 NLAA	 ZSM1	 ZSM4	 CW	 CW	 PG
100	 NLAA	 ZSM1	 ZSM5	 SB	 SB	 PG
100	 NLAA	 ZSM1	 ZSM6	 FW	 FW	 FW
100	 NLAA	 ZSM1	 ZSM7	 SP	 SP	 SP
100	 NLAA	 ZSM2	 	 CH	 GL	 PG
100	 NLAA	 ZSM3	 ZSM1	 SP	 SP	 SP
100	 NLAA	 ZSM3	 ZSM2	 SP	 SP	 SP
100	 NLAA	 ZSM3	 ZSM3	 SP	 SP	 SP
100	 NLAA	 ZSM3	 ZSM4	 CW	 CW	 CW
100	 NLAA	 ZSM3	 ZSM5	 SP	 SP	 SP
100	 NLAA	 ZSM3	 ZSM6	 FW	 FW	 FW
100	 NLAA	 ZSM3	 ZSM7	 SP	 SP	 SP
100	 NLAA	 ZSM4	 	 PG	 PG	 PG
100	 NLAA	 ZSM5	 	 NP	 NP	 NP
100	 NNAA	 ZSM1	 ZSM1	 SB	 SB	 PG
100	 NNAA	 ZSM1	 ZSM2	 CH	 CH	 PG
100	 NNAA	 ZSM1	 ZSM3	 CH	 CH	 PG
100	 NNAA	 ZSM1	 ZSM4	 CW	 CW	 PG
100	 NNAA	 ZSM1	 ZSM5	 CH	 CH	 PG
100	 NNAA	 ZSM1	 ZSM6	 FW	 FW	 FW
100	 NNAA	 ZSM1	 ZSM7	 SP	 SP	 SP
100	 NNAA	 ZSM2	 	 CH	 GL	 PG
100	 NNAA	 ZSM3	 ZSM1	 SP	 SP	 SP
100	 NNAA	 ZSM3	 ZSM2	 SP	 SP	 SP
100	 NNAA	 ZSM3	 ZSM3	 CH	 CH	 CH
100	 NNAA	 ZSM3	 ZSM4	 SP	 SP	 SP
100	 NNAA	 ZSM3	 ZSM5	 SP	 SP	 SP
100	 NNAA	 ZSM3	 ZSM7	 SP	 SP	 SP
100	 NNAA	 ZSM4	 	 PG	 PG	 PG
100	 NNAA	 ZSM5	 	 NP	 NP	 NP
