ACC: mapping transportation zone - data


MANDT	 VKORG	 VTWEG	 SPART	 ZVALUE_FIELD	 LZONE
X	 X	 X	 X	 X	
MANDT-CLNT(3)	 VKORG-CHAR(4)	 VTWEG-CHAR(2)	 SPART-CHAR(2)	 ZVALUE_FIELD-CHAR(10)	 ZONE-CHAR(10)
100	 CN01	 01	 01	 0515	 CN00120005
100	 CN01	 01	 01	 0516	 CN00120005
100	 CN01	 01	 01	 0517	 CN00120005
100	 CN01	 01	 01	 0518	 CN00120008
100	 CN01	 01	 01	 0521	 CN00120006
100	 CN01	 01	 01	 0522	 CN00120006
100	 CN01	 01	 01	 0523	 CN00120006
100	 CN01	 01	 01	 0524	 CN00120005
100	 CN01	 01	 01	 0525	 CN00120005
100	 CN01	 01	 01	 0526	 CN00120005
100	 CN01	 01	 01	 0527	 CN00120005
100	 CN01	 01	 01	 0528	 CN00120005
100	 CN01	 01	 01	 0530	 CN00120005
100	 CN01	 01	 01	 0531	 CN00120006
100	 CN01	 01	 01	 0532	 CN00120006
100	 CN01	 01	 01	 0533	 CN00120006
100	 CN01	 01	 01	 0534	 CN00120006
100	 CN01	 01	 01	 0535	 CN00120006
100	 CN01	 01	 01	 0536	 CN00120006
100	 CN01	 01	 01	 0537	 CN00120006
100	 CN01	 01	 01	 0538	 CN00120005
100	 CN01	 01	 01	 0539	 CN00120005
100	 CN01	 01	 01	 0540	 CN00120007
100	 CN01	 01	 01	 0541	 CN00120007
100	 CN01	 01	 01	 0542	 CN00120006
100	 CN01	 01	 01	 0543	 CN00120006
100	 CN01	 01	 01	 0544	 CN00120006
100	 CN01	 01	 01	 0545	 CN00120006
100	 CN01	 01	 01	 0546	 CN00120006
100	 CN01	 01	 01	 0547	 CN00120008
100	 CN01	 01	 01	 0548	 CN00120008
100	 CN01	 01	 01	 0549	 CN00120007
100	 CN01	 01	 01	 0551	 CN00120006
100	 CN01	 01	 01	 0552	 CN00120006
100	 CN01	 01	 01	 0553	 CN00120006
100	 CN01	 01	 01	 0554	 CN00120006
100	 CN01	 01	 01	 0555	 CN00120006
100	 CN01	 01	 01	 0560	 CN00120002
100	 CN01	 01	 01	 0562	 CN00120006
100	 CN01	 01	 01	 0563	 CN00120006
100	 CN01	 01	 01	 0564	 CN00120006
100	 CN01	 01	 01	 0565	 CN00120006
100	 CN01	 01	 01	 0566	 CN00120006
100	 CN01	 01	 01	 0567	 CN00120006
100	 CN01	 01	 01	 0568	 CN00120006
100	 CN01	 01	 01	 0569	 CN00120006
100	 CN01	 01	 01	 0571	 CN00120006
100	 CN01	 01	 01	 0572	 CN00120006
100	 CN01	 01	 01	 0573	 CN00120006
100	 CN01	 01	 01	 0574	 CN00120006
100	 CN01	 01	 01	 0575	 CN00120006
100	 CN01	 01	 01	 0576	 CN00120006
100	 CN01	 01	 01	 0577	 CN00120006
100	 CN01	 01	 01	 0578	 CN00120006
100	 CN01	 01	 01	 0610	 CN00120007
100	 CN01	 01	 01	 0611	 CN00120008
100	 CN01	 01	 01	 0612	 CN00120008
100	 CN01	 01	 01	 0613	 CN00120008
100	 CN01	 01	 01	 0614	 CN00120008
100	 CN01	 01	 01	 0615	 CN00120008
100	 CN01	 01	 01	 0616	 CN00120008
100	 CN01	 01	 01	 0617	 CN00120008
100	 CN01	 01	 01	 0618	 CN00120008
100	 CN01	 01	 01	 0621	 CN00120008
100	 CN01	 01	 01	 0622	 CN00120008
100	 CN01	 01	 01	 0623	 CN00120008
100	 CN01	 01	 01	 0624	 CN00120008
100	 CN01	 01	 01	 0625	 CN00120007
100	 CN01	 01	 01	 0630	 CN00120002
100	 CN01	 01	 01	 0631	 CN00120006
100	 CN01	 01	 01	 0632	 CN00120006
100	 CN01	 01	 01	 0633	 CN00120006
100	 CN01	 01	 01	 0635	 CN00120006
100	 CN01	 01	 01	 0636	 CN00120006
100	 CN01	 01	 01	 0637	 CN00120006
100	 CN01	 01	 01	 0640	 CN00120006
100	 CN01	 01	 01	 0642	 CN00120006
100	 CN01	 01	 01	 0644	 CN00120006
100	 CN01	 01	 01	 0650	 CN00120002
100	 CN01	 01	 01	 0652	 CN00120009
100	 CN01	 01	 01	 0654	 CN00120002
100	 CN01	 01	 01	 0655	 CN00120009
100	 CN01	 01	 01	 0656	 CN00120002
100	 CN01	 01	 01	 0657	 CN00120009
100	 CN01	 01	 01	 0658	 CN00120009
100	 CN01	 01	 01	 0660	 CN00120002
100	 CN01	 01	 01	 0661	 CN00120006
100	 CN01	 01	 01	 0662	 CN00120008
100	 CN01	 01	 01	 0663	 CN00120008
100	 CN01	 01	 01	 0664	 CN00120008
100	 CN01	 01	 01	 0665	 CN00120008
100	 CN01	 01	 01	 0666	 CN00120008
100	 CN01	 01	 01	 0670	 CN00120005
100	 CN01	 01	 01	 0671	 CN00120008
100	 CN01	 01	 01	 0672	 CN00120008
100	 CN01	 01	 01	 0673	 CN00120008
100	 CN01	 01	 01	 0674	 CN00120006
100	 CN01	 01	 01	 0675	 CN00120008
100	 CN01	 01	 01	 0676	 CN00120008
100	 CN01	 01	 01	 0681	 CN00120006
100	 CN01	 01	 01	 0682	 CN00120006
100	 CN01	 01	 01	 0683	 CN00120008
100	 CN01	 01	 01	 0684	 CN00120008
100	 CN01	 01	 01	 0710	 CN00120002
100	 CN01	 01	 01	 0711	 CN00120005
100	 CN01	 01	 01	 0712	 CN00120006
100	 CN01	 01	 01	 0713	 CN00120006
100	 CN01	 01	 01	 0714	 CN00120006
100	 CN01	 01	 01	 0715	 CN00120005
100	 CN01	 01	 01	 0716	 CN00120005
100	 CN01	 01	 01	 0717	 CN00120006
100	 CN01	 01	 01	 0718	 CN00120006
100	 CN01	 01	 01	 0722	 CN00120006
100	 CN01	 01	 01	 0723	 CN00120006
100	 CN01	 01	 01	 0724	 CN00120005
100	 CN01	 01	 01	 0725	 CN00120005
100	 CN01	 01	 01	 0726	 CN00120006
100	 CN01	 01	 01	 0727	 CN00120007
100	 CN01	 01	 01	 0730	 CN00120006
100	 CN01	 01	 01	 0731	 CN00120006
100	 CN01	 01	 01	 0732	 CN00120008
100	 CN01	 01	 01	 0740	 CN00120006
100	 CN01	 01	 01	 0741	 CN00120006
