PGC's to derive measuring points


MANDT	 ZPRODH3	 ZCOLNR
X	 X	
MANDT-CLNT(3)	 ZPRODH3-CHAR(4)	 ZCHAR3-CHAR(3)
100	 45P	 037
100	 45P1	 043
100	 45P2	 082
100	 45P7	 043
100	 45P8	 084
100	 45PM	 118
100	 45Q	 001
100	 45Q1	 124
100	 45Q2	 033
100	 45Q3	 033
100	 45QA	 074
100	 45QB	 074
100	 45QC	 074
100	 45QM	 118
100	 45S	 008
100	 45S0	 008
100	 45S1	 124
100	 45S2	 008
100	 45S3	 008
100	 45S9	 074
100	 45SA	 074
100	 45SB	 010
100	 45SC	 074
100	 45SF	 074
100	 45U1	 074
100	 45U2	 081
100	 45U7	 074
100	 45U8	 083
100	 45VT	 001
100	 45W	 001
100	 45X	 001
100	 45Y	 045
100	 45Y6	 045
100	 45Y8	 074
100	 45Z2	 116
100	 45Z6	 074
100	 45Z8	 043
100	 460	 006
100	 460M	 006
100	 461	 005
100	 461M	 005
100	 462	 002
100	 462M	 002
100	 463	 004
100	 464	 001
100	 465	 001
100	 466	 001
100	 466M	 001
100	 467	 001
100	 467M	 001
100	 468	 001
100	 468M	 001
100	 469	 001
100	 46A	 027
100	 46AM	 027
100	 46B	 006
100	 46BM	 006
100	 46C	 005
100	 46CM	 005
100	 46CX	 074
100	 46D	 035
100	 46K	 001
100	 46L0	 074
100	 46L1	 074
100	 46L2	 074
100	 46L3	 004
100	 46LB	 074
100	 46LC	 074
100	 46LD	 074
100	 46LN	 074
100	 46LO	 074
100	 46V5	 074
100	 46V6	 001
100	 46V7	 001
100	 46V8	 001
100	 46V9	 074
100	 46VG	 074
100	 46VK	 074
100	 470	 011
100	 470A	 011
100	 470M	 001
100	 471	 023
100	 471A	 023
100	 471M	 001
100	 472	 015
100	 472M	 072
100	 474	 054
100	 474A	 054
100	 474M	 018
100	 475	 054
100	 475A	 054
100	 475M	 018
100	 476	 058
100	 476A	 058
100	 476M	 018
100	 478A	 058
100	 47A	 031
100	 47AA	 009
100	 47AM	 001
100	 47B	 031
100	 47BA	 009
100	 47BM	 001
100	 47C	 036
100	 47CA	 036
100	 47CM	 009
100	 47D	 039
100	 47DA	 009
100	 47DM	 009
100	 47E	 009
100	 47EA	 009
100	 47G	 042
100	 47GA	 009
100	 47GM	 009
100	 47L0	 074
100	 47L1	 074
100	 47L2	 074
100	 47L3	 023
100	 47L4	 074
100	 47L5	 054
100	 47L9	 074
100	 47LB	 110
100	 47LC	 127
100	 47LD	 110
100	 47N0	 074
100	 47N1	 074
100	 47N3	 074
100	 47N4	 074
100	 47N5	 061
100	 47NB	 115
100	 47NC	 115
100	 47ND	 115
100	 47V6	 086
100	 47V8	 074
100	 47VE	 110
100	 47VG	 110
100	 47W6	 074
100	 47W8	 058
100	 47WE	 115
100	 47WG	 115
100	 482	 053
100	 484	 062
100	 484D	 062
100	 485	 063
100	 486	 077
100	 487	 077
100	 488	 077
100	 48A	 040
100	 48B	 046
100	 48C	 048
100	 48D	 064
100	 48E	 066
100	 48F	 049
100	 48G	 085
100	 48H	 059
100	 48J	 041
100	 48K	 008
100	 48M	 062
100	 48N	 064
100	 48P	 061
100	 48Q	 068
100	 48R	 067
100	 48S	 069
100	 48T	 076
100	 48TA	 085
100	 48TB	 041
100	 48U	 076
100	 48Y	 076
100	 490	 074
100	 490M	 078
100	 491M	 078
100	 492M	 078
100	 494	 074
100	 494M	 078
100	 495M	 078
100	 496M	 074
100	 497M	 078
100	 498M	 078
100	 49AM	 078
100	 49B	 074
100	 49BM	 078
100	 49DM	 078
100	 49E	 074
100	 49EM	 078
100	 49FM	 078
100	 49G	 001
100	 49H0	 078
100	 49H1	 078
100	 49H2	 078
100	 49H3	 078
100	 49H4	 078
100	 49H9	 078
100	 49IM	 078
100	 49LM	 078
100	 49MM	 078
100	 49NM	 078
100	 49PM	 078
100	 49WM	 078
100	 4EBA	 078
100	 4EBB	 078
100	 4EBC	 078
100	 4EBD	 078
100	 4IRA	 078
100	 4PS1	 074
100	 510	 051
100	 510A	 050
100	 510D	 050
100	 511	 051
100	 512	 051
100	 513	 060
100	 513A	 060
100	 513D	 060
100	 514	 060
100	 514D	 060
100	 514E	 060
100	 515	 065
100	 516	 050
100	 517	 051
100	 519	 074
100	 51A	 056
100	 51AA	 056
100	 51B	 057
100	 51C	 057
100	 51H	 50
100	 51I	 051
100	 51J	 051
100	 51R	 052
100	 51RA	 052
100	 51S	 055
100	 520	 074
100	 523	 074
100	 524	 074
100	 52I	 078
100	 52J	 074
100	 52Q1	 078
100	 52RA	 078
100	 52V	 078
100	 52VA	 078
100	 52VB	 078
100	 52VC	 078
100	 52VD	 078
100	 52VE	 078
100	 52X	 001
100	 52Y	 001
100	 52Z	 001
100	 530	 001
100	 531	 001
100	 532	 001
100	 54A	 001
100	 54B	 029
100	 54C	 029
100	 54D	 020
100	 54E	 001
100	 54F	 001
100	 54G	 021
100	 54H	 025
100	 54J	 075
100	 54L	 074
100	 54P	 074
100	 550X	 032
100	 552	 074
100	 553	 074
100	 553X	 034
100	 554X	 002
100	 560	 001
100	 561	 001
100	 562	 001
100	 563	 001
100	 570	 001
100	 571A	 071
100	 571B	 071
100	 572	 001
100	 573E	 087
100	 5748	 053
100	 575	 071
100	 5751	 050
100	 5757	 070
100	 5799	 001
100	 57A	 077
100	 57B	 077
100	 57C	 077
100	 57E	 077
100	 57G	 077
100	 57H	 077
100	 57J	 077
100	 57X	 001
100	 57Z	 001
100	 580	 022
100	 581	 022
100	 582	 035
100	 583	 004
100	 584	 003
100	 585	 022
100	 586	 012
100	 587	 001
100	 589	 074
100	 58A	 017
100	 58B	 030
100	 58C	 030
100	 58D	 012
100	 58E	 001
100	 58F	 013
100	 58G	 035
100	 58H	 022
100	 58HA	 117
100	 58J	 022
100	 58JA	 117
100	 599	 001
100	 59M	 001
100	 601	 X06
100	 602	 X06
100	 605	 X06
100	 606	 X03
100	 607	 X06
100	 608	 X06
100	 609	 X02
100	 611	 X05
100	 613	 X05
100	 615	 X05
100	 616	 X04
100	 617	 X04
100	 618	 X04
100	 631	 X03
100	 632	 X06
100	 637	 X06
100	 640	 X02
100	 641	 X05
100	 642	 X02
100	 643	 X05
100	 644	 X05
100	 645	 X05
100	 646	 X05
100	 647	 X05
100	 660	 X02
100	 661	 X02
100	 662	 X02
100	 664	 X05
100	 671	 X01
100	 672	 X01
100	 673	 X01
100	 675	 X06
100	 677	 X06
100	 680	 X01
100	 681	 X01
