SEED Service product selection CT


MANDT	 GAC	 PGC	 MATKL	 EQUIPID	 MATNR
X	 X	 X	 X	 X	
MANDT-CLNT(3)	 RKEG_WW006-CHAR(4)	 RKEG_WW007-CHAR(4)	 MATKL-CHAR(9)	 CHAR01-CHAR(1)	 MATNR-CHAR(18)
100	 4PS	 *	 042ZFP	 	 000000010000369776
100	 4PS	 *	 043ZIS03	 	 000000010000404046
100	 4PS	 *	 043ZIS04	 	 000000010000404047
100	 4PS	 *	 043ZSR	 	 000000010000369777
100	 51	 *	 042ZAN	 	 000000010000451466
100	 51	 *	 042ZFP	 	 000000010000369745
100	 51	 *	 042ZOH	 	 000000010000455951
100	 51	 *	 043ZIS03	 	 000000010000404046
100	 51	 *	 043ZIS04	 	 000000010000404047
100	 51	 *	 043ZSR	 	 000000010000369746
100	 51	 510	 042ZER	 	 000000010000453759
100	 51L	 *	 042ZFP	 	 000000010000369745
100	 51L	 *	 042ZOH	 	 000000010000455951
100	 51L	 *	 043ZIS03	 	 000000010000404046
100	 51L	 *	 043ZIS04	 	 000000010000404047
100	 51L	 *	 043ZSR	 	 000000010000369746
100	 51T	 *	 042ZFP	 	 000000010000369745
100	 51T	 *	 042ZOH	 	 000000010000455951
100	 51T	 *	 043ZIS03	 	 000000010000404046
100	 51T	 *	 043ZIS04	 	 000000010000404047
100	 51T	 *	 043ZSR	 	 000000010000369746
100	 51V	 *	 042ZFP	 	 000000010000369745
100	 51V	 *	 042ZOH	 	 000000010000455951
100	 51V	 *	 043ZIS03	 	 000000010000404046
100	 51V	 *	 043ZIS04	 	 000000010000404047
100	 51V	 *	 043ZSR	 	 000000010000369746
100	 51V	 513	 042ZER	 	 000000010000453759
100	 51V	 514	 042ZER	 	 000000010000453760
100	 51W	 *	 042ZFP	 	 000000010000369745
100	 51W	 *	 042ZOH	 	 000000010000455951
100	 51W	 *	 043ZIS03	 	 000000010000404046
100	 51W	 *	 043ZIS04	 	 000000010000404047
100	 51W	 *	 043ZSR	 	 000000010000369746
