Table for profit centre derivation rules


MANDT	 PRCTR	 SEGMENT
X	 X	
MANDT-CLNT(3)	 PRCTR-CHAR(10)	 FB_SEGMENT-CHAR(10)
100	 0000000118	 SED
100	 0000000119	 SED
100	 0000000120	 SED
100	 0000000121	 SED
100	 0000000122	 SED
100	 0000000123	 SED
100	 0000000124	 SED
100	 0000000125	 SED
100	 0000000126	 SED
100	 0000000127	 SED
100	 0000000128	 SED
100	 0000000129	 SED
100	 0000000130	 SED
100	 0000000131	 SED
100	 0000000132	 SED
100	 0000000133	 SED
100	 0000000134	 SED
100	 0000000201	 URE
100	 0000000202	 MRS
100	 0000000203	 UMR
100	 0000000213	 URE
100	 0000000215	 0000002110
100	 0000000216	 URE
100	 0000000217	 0000002110
100	 0000000218	 0000002110
100	 0000000219	 0000002110
100	 0000000220	 0000002610
100	 0000000221	 URE
100	 0000000222	 URE
100	 0000000223	 URE
100	 0000000224	 URE
100	 0000000225	 URE
100	 0000000226	 URE
100	 0000000227	 URE
100	 0000000228	 URE
100	 0000000229	 URE
100	 0000000230	 URE
100	 0000000231	 URE
100	 0000000232	 0000002610
100	 0000000233	 URE
100	 0000000234	 URE
100	 0000000235	 URE
100	 0000000236	 URE
100	 0000000237	 URE
100	 0000000238	 URE
100	 0000000239	 URE
100	 0000000240	 CTH
100	 0000000241	 CTH
100	 0000000242	 CTH
100	 0000000243	 CTH
100	 0000000244	 CTH
100	 0000000245	 CTH
100	 0000000246	 CTH
100	 0000000247	 CTH
100	 0000000248	 CTH
100	 0000000249	 CTH
100	 0000000250	 0000002410
100	 0000000255	 0000002410
100	 0000000256	 0000002410
100	 0000000257	 0000002410
100	 0000000260	 MRS
100	 0000000261	 MRS
100	 0000000262	 MRS
100	 0000000263	 MRS
100	 0000000264	 MRS
100	 0000000265	 MRS
100	 0000000266	 MRS
100	 0000000269	 0000002110
100	 0000000271	 CRS
100	 0000000272	 CRS
100	 0000000274	 CRS
100	 0000000275	 CTH
100	 0000000280	 0000002310
100	 0000000281	 0000002310
100	 0000000286	 0000002310
100	 0000000290	 CRS
100	 0000000291	 CRS
100	 0000000292	 CRS
100	 0000000293	 CHS
100	 0000000294	 CRS
100	 0000000296	 CRS
100	 0000000297	 CRS
100	 0000000298	 CRS
100	 0000000299	 CRS
100	 0000000331	 0000003100
100	 0000000332	 0000003100
100	 0000000333	 0000003100
100	 0000000334	 0000003120
100	 0000000337	 0000003100
100	 0000000340	 0000002410
100	 0000000345	 0000002410
100	 0000000346	 0000002410
100	 0000000347	 0000002410
100	 0000000348	 0000002410
100	 0000000349	 0000002410
100	 0000000390	 0000003100
100	 0000000395	 0000003100
100	 0000000396	 0000003100
100	 0000000397	 0000003100
100	 0000000398	 0000003100
100	 0000000399	 0000003100
100	 0000000480	 0000001210
100	 0000000481	 0000001210
100	 0000000483	 0000001210
100	 0000000485	 0000001210
100	 0000000486	 0000001210
100	 0000000488	 0000001210
100	 0000000500	 GAS
100	 0000000501	 GAS
100	 0000000521	 0000001610
100	 0000000539	 GAS
100	 0000000541	 0000001210
100	 0000000542	 0000001210
100	 0000000543	 GPP
100	 0000000544	 GPP
100	 0000000545	 0000001210
100	 0000000546	 GPP
100	 0000000547	 GPP
100	 0000000550	 APW
100	 0000000551	 APE
100	 0000000552	 0000001110
100	 0000000553	 APW
100	 0000000554	 APW
100	 0000000555	 0000001210
100	 0000000556	 AIA
100	 0000000557	 AIA
100	 0000000558	 AIA
100	 0000000559	 AIA
100	 0000000571	 0000001210
100	 0000000573	 0000001210
100	 0000000575	 0000001210
100	 0000000577	 0000001210
100	 0000000583	 0000001210
100	 0000000588	 0000001210
100	 0000000595	 0000001610
100	 0000000596	 0000001110
100	 0000000597	 0000001210
100	 0000000598	 0000001211
100	 0000000599	 0000001210
100	 0000000702	 MRS
100	 0000000704	 0000002110
100	 0000000705	 MRS
100	 0000000706	 0000002110
100	 0000000707	 0000002110
100	 0000000708	 0000002110
100	 0000000709	 0000002110
100	 0000000712	 MRS
100	 0000000713	 MRS
100	 0000000718	 0000002110
100	 0000000719	 0000002110
100	 0000000721	 MRS
100	 0000000729	 URE
100	 0000000730	 URE
100	 0000000735	 0000002310
100	 0000000765	 0000003130
100	 0000000770	 0000003320
100	 0000000771	 0000003310
100	 0000000772	 0000003310
100	 0000000773	 0000003310
100	 0000000774	 0000003320
100	 0000000775	 0000003310
100	 0000000776	 0000003320
100	 0000000777	 0000003320
100	 0000000778	 0000003320
100	 0000000779	 0000003310
100	 0000000780	 0000003320
100	 0000000782	 0000003320
100	 0000000783	 0000003330
100	 0000000784	 0000003320
100	 0000000785	 0000003320
100	 0000000786	 0000003310
100	 0000000787	 0000003320
100	 0000000788	 0000003310
100	 0000000789	 0000003310
100	 0000000800	 0000002310
100	 0000000802	 0000002310
100	 0000000803	 0000002310
100	 0000000806	 0000002310
100	 0000000810	 UMR
100	 0000000811	 CRS
100	 0000000813	 CHS
100	 0000000814	 0000002310
100	 0000000815	 UMR
100	 0000000816	 0000003130
100	 0000000817	 0000003130
100	 0000000818	 0000002110
100	 0000000819	 0000002110
100	 0000000820	 MRS
100	 0000000826	 0000003130
100	 0000000827	 0000003130
100	 0000000828	 0000003300
100	 0000000829	 0000003300
100	 0000000830	 0000003320
100	 0000000831	 0000003310
100	 0000000832	 0000003310
100	 0000000833	 0000003310
100	 0000000834	 0000003320
100	 0000000835	 0000003310
100	 0000000836	 0000003310
100	 0000000837	 0000003310
100	 0000000838	 0000003310
100	 0000000839	 0000003310
100	 0000000841	 0000003310
100	 0000000842	 0000003310
100	 0000000843	 0000003330
100	 0000000844	 0000003310
100	 0000000845	 0000003330
100	 0000000846	 0000003130
100	 0000000847	 0000003130
100	 0000000848	 0000003310
100	 0000000849	 0000003310
100	 0000000850	 0000003320
100	 0000000851	 0000003320
100	 0000000856	 0000003130
100	 0000000857	 0000003130
100	 0000000866	 0000003130
100	 0000000879	 0000003320
100	 0000000880	 0000002740
100	 0000000881	 0000002740
100	 0000000882	 CRS
100	 0000000890	 0000003100
100	 0000000891	 0000003100
100	 0000000892	 0000003100
100	 0000000893	 0000003100
100	 0000000894	 0000003100
100	 0000000895	 0000003100
100	 0000000896	 0000003100
100	 0000000897	 0000003100
100	 0000000898	 0000003100
100	 0000000899	 0000003130
100	 0000001100	 AIA
100	 0000001110	 0000001110
100	 0000001120	 0000001120
100	 0000001200	 AIA
100	 0000001210	 0000001210
100	 0000001211	 0000001211
100	 0000001220	 0000001220
100	 0000001300	 AIA
100	 0000001310	 APW
100	 0000001311	 AW1
100	 0000001320	 0000001320
100	 0000001330	 APW
100	 0000001331	 AW1
100	 0000001400	 AIA
100	 0000001410	 0000001410
100	 0000001500	 AIA
100	 0000001510	 0000001510
100	 0000001600	 AIA
100	 0000001610	 0000001610
100	 0000001611	 0000001611
100	 0000001700	 AIA
100	 0000001800	 AIA
100	 0000001900	 AIA
100	 0000001910	 0000001910
100	 0000001911	 0000001911
100	 0000002000	 AIA
100	 0000002100	 AIA
100	 0000002110	 0000002110
100	 0000002120	 0000002120
100	 0000002200	 0000002200
100	 0000002310	 0000002310
100	 0000002410	 0000002410
100	 0000002420	 0000002420
100	 0000002510	 0000002510
100	 0000002610	 0000002610
100	 0000002710	 0000002710
100	 0000002720	 0000002720
100	 0000002730	 0000002730
100	 0000002740	 0000002740
100	 0000002910	 0000002910
100	 0000003100	 0000003100
100	 0000003110	 0000003110
100	 0000003120	 0000003120
100	 0000003130	 0000003130
100	 0000003210	 0000003210
100	 0000003300	 0000003300
100	 0000003310	 0000003310
100	 0000003320	 0000003320
100	 0000003330	 0000003330
100	 0000003910	 0000003910
100	 0000005000	 0000005210
100	 0000005004	 GAS
100	 0000005110	 0000005110
100	 0000005210	 0000005210
100	 0000005310	 0000005310
100	 0000005410	 0000005410
100	 0000005910	 0000005910
100	 0000009000	 0000009010
100	 0000009010	 0000009010
100	 0000009020	 0000009010
100	 0000009030	 0000009010
100	 0000009040	 0000009010
100	 0000009110	 0000009010
100	 0000009111	 0000009010
100	 0000009112	 0000009010
100	 0000009113	 0000009010
100	 0000009114	 0000009010
100	 0000009115	 0000009010
100	 0000009116	 0000009010
100	 0000009117	 0000009010
100	 0000009118	 0000009010
100	 0000009119	 0000009010
100	 0000009120	 0000009010
100	 0000009121	 0000009010
100	 0000009122	 0000009010
100	 0000009124	 0000009010
100	 0000009125	 0000009010
100	 0000009130	 0000009010
100	 0000009131	 0000009010
100	 0000009132	 0000009010
100	 0000009133	 0000009010
100	 0000009134	 0000009010
100	 0000009140	 0000009010
100	 0000009141	 0000009010
100	 0000009142	 0000009010
100	 0000009143	 0000009010
100	 0000009144	 0000009010
100	 0000009145	 0000009010
100	 0000009146	 0000009010
100	 0000009147	 0000009010
100	 0000009910	 0000009910
100	 0000009920	 0000009920
100	 0000009930	 0000009930
100	 0000009931	 0000009931
100	 0000996100	 0000009920
100	 0000996200	 0000009920
100	 0000996300	 0000009920
100	 0000996400	 0000009920
100	 0000996500	 0000009920
100	 101S	 SED
100	 102S	 SED
100	 103S	 SED
100	 104S	 SED
100	 105S	 SED
100	 106S	 SED
100	 107S	 SED
100	 108S	 SED
100	 109S	 SED
100	 10A	 MRS
100	 10AR	 0000002310
100	 10B	 MRS
100	 10BR	 0000002310
100	 10D	 MRS
100	 10HF	 0000005410
100	 10L	 0000005410
100	 10P	 RTE
100	 10Q	 RTE
100	 10R	 MRS
100	 10RR	 0000002310
100	 111S	 SED
100	 112S	 SED
100	 114S	 SED
100	 115S	 SED
100	 116S	 SED
100	 117S	 SED
100	 118S	 SED
100	 119S	 SED
100	 11L	 0000005410
100	 11R	 0000002310
100	 120S	 SED
100	 121S	 SED
100	 122S	 SED
100	 123S	 SED
100	 124S	 SED
100	 125S	 SED
100	 126S	 SED
100	 127S	 SED
100	 128S	 SED
100	 129S	 SED
100	 12C	 0000002310
100	 12L	 0000005410
100	 12P	 0000002110
100	 12Q	 0000002110
100	 12R	 MRS
100	 12T	 MRS
100	 130S	 SED
100	 131S	 SED
100	 132S	 SED
100	 133S	 SED
100	 134S	 SED
100	 13L	 0000005410
100	 14HF	 0000005410
100	 14L	 0000005410
100	 15AA	 0000002310
100	 15AB	 0000002310
100	 15AC	 0000002310
100	 15AD	 0000002310
100	 15AE	 0000002310
100	 15C	 URE
100	 15L	 0000005410
100	 15M	 0000002310
100	 15R	 0000002310
100	 16A	 MRS
100	 16AR	 0000002310
100	 16C	 MRS
100	 16CR	 0000002310
100	 16F	 MRS
100	 16HF	 0000005410
100	 16J	 MRS
100	 16JR	 0000002310
100	 16L	 0000005410
100	 17A	 0000002110
100	 17B	 MRS
100	 17F	 MRS
100	 17L	 0000005410
100	 17N	 MRS
100	 17S	 MRS
100	 17X	 MRS
100	 17Z	 0000002110
100	 18A	 0000002110
100	 18B	 MRS
100	 18BR	 0000002310
100	 18HF	 0000005410
100	 18L	 0000005410
100	 18S	 0000002110
100	 18X	 MRS
100	 18Z	 0000002110
100	 19A	 0000002110
100	 19B	 MRS
100	 19J	 MRS
100	 19L	 0000005410
100	 19X	 MRS
100	 19Z	 0000002110
100	 20L	 0000005410
100	 21A	 0000002610
100	 21B	 0000002610
100	 21C	 0000002610
100	 21D	 0000002610
100	 21E	 MRS
100	 21ED	 MRS
100	 21EP	 MRS
100	 21EW	 MRS
100	 21F	 0000002610
100	 21G	 MRS
100	 21K	 0000002610
100	 21L	 0000005410
100	 21X	 MRS
100	 21Z	 0000002110
100	 220B	 0000002610
100	 220D	 0000002610
100	 22L	 0000005410
100	 22Z	 0000002110
100	 232B	 0000002610
100	 232D	 0000002610
100	 243R	 0000002310
100	 24A	 MRS
100	 24EM	 CTH
100	 24EX	 CTH
100	 24R	 CTH
100	 24T	 URE
100	 24Z	 CTH
100	 257R	 0000002310
100	 272A	 CRS
100	 272B	 CHS
100	 272C	 CRS
100	 272D	 CRS
100	 272E	 CRS
100	 272F	 CRS
100	 272R	 0000002740
100	 274O	 CHS
100	 274P	 CHS
100	 275A	 CTH
100	 275B	 CTH
100	 275C	 CTH
100	 275D	 CTH
100	 27AA	 0000002410
100	 27AB	 0000002410
100	 27AC	 0000002410
100	 27BA	 0000002410
100	 27BB	 0000002410
100	 27BC	 0000002410
100	 27CA	 0000002410
100	 27CB	 0000002410
100	 27CC	 0000002410
100	 280A	 0000002310
100	 280B	 0000002310
100	 280C	 0000002310
100	 281A	 0000002310
100	 281B	 0000002310
100	 281C	 0000002310
100	 286A	 0000002310
100	 286B	 0000002310
100	 286C	 0000002310
100	 286D	 0000002310
100	 286E	 0000002310
100	 286S	 0000002310
100	 28A	 0000002310
100	 28AA	 0000002310
100	 28AB	 0000002310
100	 28AC	 0000002310
100	 28BA	 0000002310
100	 28BB	 0000002310
100	 28BC	 0000002310
100	 28F	 0000002310
100	 28FA	 0000002310
100	 28FB	 0000002310
100	 28FC	 0000002310
100	 28FD	 0000002310
100	 28L	 0000002310
100	 28LA	 0000002310
100	 28LB	 0000002310
100	 28LD	 0000002310
100	 28LG	 0000002310
100	 28M	 0000002310
100	 28N	 0000002310
100	 28NA	 0000002310
100	 28NB	 0000002310
100	 28P	 0000002310
100	 28PA	 0000002310
100	 28PB	 0000002310
100	 28PC	 0000002310
100	 28S	 0000002310
100	 28X	 0000002310
100	 28XA	 0000002310
100	 28XB	 0000002310
100	 290K	 CRS
100	 296R	 0000002310
100	 297R	 0000002310
100	 298R	 0000002310
100	 299K	 CHS
100	 299O	 CHS
100	 299P	 CHS
100	 299R	 0000002310
100	 299S	 CHS
100	 29R	 0000002310
100	 30A	 MRS
100	 30L	 0000005410
100	 30M	 MRS
100	 331G	 0000003120
100	 331M	 0000003110
100	 332G	 0000003120
100	 332M	 0000003110
100	 333G	 0000003120
100	 333M	 0000003110
100	 334G	 0000003120
100	 335G	 0000003120
100	 336G	 0000003120
100	 336S	 0000003130
100	 337G	 0000003120
100	 338G	 0000003120
100	 340R	 0000002310
100	 345R	 0000002310
100	 346R	 0000002310
100	 347R	 0000002310
100	 34E	 0000002410
100	 34EH	 0000002410
100	 35S	 0000002310
100	 36AA	 0000002310
100	 36AB	 0000002310
100	 36AC	 0000002310
100	 36AD	 0000002310
100	 36AE	 0000002310
100	 36AF	 0000002310
100	 36AG	 0000002310
100	 36AH	 0000002310
100	 36AJ	 0000002310
100	 36BA	 0000002310
100	 36BB	 0000002310
100	 36BC	 0000002310
100	 36BD	 0000002310
100	 36BE	 0000002310
100	 36BF	 0000002310
100	 36BG	 0000002310
100	 36BH	 0000002310
100	 36BJ	 0000002310
100	 36S	 0000002310
100	 37AA	 0000002310
100	 37AB	 0000002310
100	 37AC	 0000002310
100	 37AD	 0000002310
100	 37BA	 0000002310
100	 37BB	 0000002310
100	 37BC	 0000002310
100	 37S	 0000002310
100	 38AA	 0000002310
100	 38AB	 0000002310
100	 38AC	 0000002310
100	 38AD	 0000002310
100	 38BA	 0000002310
100	 38BB	 0000002310
100	 38BC	 0000002310
100	 38BD	 0000002310
100	 38CA	 0000002310
100	 38CB	 0000002310
100	 38CC	 0000002310
100	 38CD	 0000002310
100	 38S	 0000002310
100	 38T	 0000002310
100	 390G	 0000003120
100	 390M	 0000003110
100	 390T	 0000003100
100	 395G	 0000003120
100	 395M	 0000003110
100	 396G	 0000003120
100	 396M	 0000003110
100	 397G	 0000003120
100	 397M	 0000003110
100	 398G	 0000003120
100	 398M	 0000003110
100	 399G	 0000003120
100	 399M	 0000003110
100	 40A	 APE
100	 40M	 APE
100	 40O	 APW
100	 40S	 APW
100	 40U	 AW1
100	 40X	 APE
100	 41A	 APW
100	 41B	 APE
100	 41H	 APE
100	 41M	 APE
100	 41O	 APE
100	 41U	 AW1
100	 41X	 APE
100	 42A	 APE
100	 42B	 APE
100	 42C	 APE
100	 42G	 APE
100	 42H	 APE
100	 42I	 APE
100	 42J	 APE
100	 42L	 APE
100	 42M	 APE
100	 42Q	 APE
100	 42S	 APW
100	 42U	 AW1
100	 42X	 APE
100	 42Y	 APE
100	 43G	 CRS
100	 43GK	 CRS
100	 43H	 CRS
100	 43HK	 CRS
100	 43K	 CRS
100	 43L	 CRS
100	 43LK	 CRS
100	 43P	 CRS
100	 43PK	 CRS
100	 43Q	 CRS
100	 43X	 CRS
100	 43Y	 CRS
100	 43Z	 CRS
100	 44A	 0000001120
100	 44C	 0000001110
100	 44D	 0000001120
100	 44I	 0000001120
100	 44L	 0000001110
100	 44M	 0000001120
100	 44N	 0000001120
100	 44P	 0000001120
100	 44S	 0000001120
100	 44T	 0000001120
100	 45A	 AVR
100	 45B	 QAM
100	 45B0	 QAM
100	 45BA	 QAM
100	 45C	 0000001110
100	 45D	 0000001110
100	 45F	 QAM
100	 45F0	 QAM
100	 45FB	 QAM
100	 45G	 QAM
100	 45G0	 QAM
100	 45GB	 QAM
100	 45H	 QAM
100	 45H0	 QAM
100	 45HA	 QAM
100	 45HB	 QAM
100	 45HP	 QAM
100	 45J	 QAM
100	 45JA	 QAM
100	 45L	 0000001110
100	 45M	 0000001120
100	 45MV	 0000001120
100	 45N	 0000001110
100	 45P	 0000001110
100	 45Q	 0000001110
100	 45S	 0000001110
100	 45U	 0000001110
100	 45V	 QAM
100	 45V0	 QAM
100	 45VA	 QAM
100	 45VB	 QAM
100	 45VP	 QAM
100	 45X	 0000001120
100	 45XV	 0000001120
100	 45Y	 0000001110
100	 45Z	 0000001110
100	 46C	 0000001110
100	 46G	 0000001110
100	 46H	 QAM
100	 46H0	 QAM
100	 46HA	 QAM
100	 46HB	 QAM
100	 46HP	 QAM
100	 46I	 QAM
100	 46I0	 QAM
100	 46IA	 QAM
100	 46IB	 QAM
100	 46IP	 QAM
100	 46J	 QAM
100	 46JA	 QAM
100	 46JB	 QAM
100	 46JP	 QAM
100	 46K	 0000001110
100	 46L	 0000001110
100	 46M	 0000001120
100	 46N	 0000001120
100	 46P	 QAM
100	 46P0	 QAM
100	 46PA	 QAM
100	 46PB	 QAM
100	 46PP	 QAM
100	 46Q	 QAM
100	 46QB	 QAM
100	 46R	 0000001110
100	 46V	 0000001110
100	 46X	 QAM
100	 46X0	 QAM
100	 46XA	 QAM
100	 46XB	 QAM
100	 46XP	 QAM
100	 46Z	 0000001120
100	 47C	 0000001110
100	 47L	 0000001110
100	 47M	 0000001120
100	 47N	 0000001110
100	 47V	 0000001110
100	 47W	 0000001110
100	 48A	 0000001210
100	 48B	 0000001210
100	 48C	 0000001210
100	 48D	 0000001210
100	 48E	 0000001210
100	 48G	 0000001210
100	 48J	 0000001210
100	 48K	 0000001210
100	 48L	 0000001210
100	 48U	 0000001210
100	 48V	 0000001210
100	 48W	 0000001210
100	 48X	 0000001210
100	 48Y	 0000001210
100	 490A	 ADH
100	 491A	 ADH
100	 492A	 ADH
100	 493A	 ADH
100	 494A	 ADH
100	 49G	 0000001610
100	 49H	 0000001610
100	 49HQ	 QMS
100	 49J	 0000001611
100	 49L	 0000001610
100	 49M	 0000001611
100	 49P	 0000001610
100	 49Q	 0000001610
100	 49Q1	 QMS
100	 49Q2	 QMS
100	 49Q3	 QMS
100	 49Q4	 QMS
100	 49Q5	 QMS
100	 49Q6	 QMS
100	 49Q7	 QMS
100	 49Q8	 QMS
100	 49Q9	 QMS
100	 49R	 0000001610
100	 49S	 0000001610
100	 49T	 0000001610
100	 49V	 0000001611
100	 49VC	 0000001610
100	 49VE	 0000001610
100	 49VH	 0000001610
100	 49VK	 0000001610
100	 49VL	 0000001610
100	 49VM	 0000001610
100	 49VO	 0000001610
100	 49Y	 0000001611
100	 49Z	 0000001610
100	 4C	 APE
100	 4EB	 0000001611
100	 4ER	 0000001610
100	 4IR	 0000001610
100	 4LX	 APE
100	 4PF	 APE
100	 4PI	 APE
100	 4PP	 APE
100	 4PS	 APE
100	 4PV	 APE
100	 4PZ	 APE
100	 50A	 GAS
100	 50A1	 GAS
100	 50A2	 GAS
100	 50A3	 GAS
100	 50A4	 GAS
100	 50B	 GAS
100	 50B1	 GAS
100	 50B2	 GAS
100	 50B3	 GAS
100	 50B4	 GAS
100	 50D	 GAS
100	 50E	 GAS
100	 50E1	 GAS
100	 50E2	 GAS
100	 50E3	 GAS
100	 50E4	 GAS
100	 50F	 0000001610
100	 50G	 GAS
100	 50M	 GAS
100	 50M1	 GAS
100	 50M2	 GAS
100	 50M3	 GAS
100	 50M4	 GAS
100	 50R	 GAS
100	 50S	 GAS
100	 50S1	 GAS
100	 50S2	 GAS
100	 50S3	 GAS
100	 50T	 GAS
100	 50T1	 GAS
100	 50T2	 GAS
100	 50T3	 GAS
100	 50U	 GAS
100	 50U1	 GAS
100	 50U2	 GAS
100	 50U3	 GAS
100	 50V	 GAS
100	 50V1	 GAS
100	 50V2	 GAS
100	 50V3	 GAS
100	 50W	 GAS
100	 50X	 GAS
100	 50Y	 GAS
100	 50Y1	 GAS
100	 50Y2	 GAS
100	 50Y3	 GAS
100	 50Z	 GAS
100	 51L	 0000001210
100	 51M	 0000001120
100	 51T	 0000001120
100	 51V	 0000001210
100	 51W	 0000001210
100	 51X	 0000001210
100	 51Y	 0000001120
100	 52B	 0000001610
100	 52C	 0000001610
100	 52G	 0000001610
100	 52I	 0000001610
100	 52O	 GPP
100	 52Q	 0000001610
100	 52QA	 0000001610
100	 52R	 0000001610
100	 52T	 0000001610
100	 52U	 GPP
100	 52V	 0000001611
100	 52X	 0000001610
100	 52Z	 GPP
100	 53A	 GAE
100	 53B	 GAE
100	 53C	 GAE
100	 53D	 GAE
100	 543F	 GPP
100	 543P	 GPP
100	 544F	 GPP
100	 544P	 GPP
100	 547S	 GPP
100	 55M	 0000001120
100	 56G	 GAE
100	 56M	 GAE
100	 57P	 0000001210
100	 57Y	 0000001210
100	 58F	 0000001210
100	 58I	 0000001210
100	 58K	 0000001211
100	 58M	 0000001210
100	 58R	 0000001120
100	 58V	 0000001210
100	 58Z	 0000001120
100	 590R	 0000001410
100	 591R	 0000001410
100	 592R	 0000001410
100	 593R	 0000001410
100	 594R	 0000001410
100	 59F	 0000001410
100	 59L	 0000001410
100	 59M	 0000001120
100	 59RE	 0000001410
100	 59RI	 0000001410
100	 59SL	 0000001410
100	 59SM	 0000001410
100	 59UE	 0000001410
100	 5ABS	 ADH
100	 5ACO	 ADH
100	 5ADP	 ADH
100	 5AFS	 ADH
100	 5AIC	 ADH
100	 5AOT	 ADH
100	 5APL	 ADH
100	 5ARP	 ADH
100	 5ASL	 ADH
100	 5ASV	 ADH
100	 5ATR	 ADH
100	 5BBS	 ADH
100	 5BRP	 ADH
100	 5BSV	 ADH
100	 5ER	 0000001610
100	 5IBS	 ADH
100	 5ICO	 ADH
100	 5IDP	 ADH
100	 5IFS	 ADH
100	 5IIC	 ADH
100	 5IOT	 ADH
100	 5IPL	 ADH
100	 5IRP	 ADH
100	 5ISL	 ADH
100	 5ISV	 ADH
100	 5ITR	 ADH
100	 5REO	 0000001410
100	 5SGA	 0000001410
100	 5SGR	 0000001410
100	 60G	 0000003120
100	 60M	 0000003110
100	 61A	 0000003100
100	 61AG	 0000003120
100	 61AM	 0000003110
100	 61B	 0000003100
100	 61BG	 0000003120
100	 61BM	 0000003110
100	 61G	 0000003120
100	 61M	 0000003110
100	 62A	 0000003100
100	 62AG	 0000003120
100	 62AM	 0000003110
100	 62AS	 0000003130
100	 62B	 0000003100
100	 62BG	 0000003120
100	 62BM	 0000003110
100	 62BS	 0000003130
100	 62C	 0000003100
100	 62CG	 0000003120
100	 62CM	 0000003110
100	 62CS	 0000003130
100	 62G	 0000003120
100	 62M	 0000003110
100	 62S	 0000003130
100	 63G	 0000003120
100	 63M	 0000003110
100	 64G	 0000003120
100	 64M	 0000003110
100	 65A	 0000003100
100	 65AG	 0000003120
100	 65AM	 0000003110
100	 65B	 0000003100
100	 65BG	 0000003120
100	 65BM	 0000003110
100	 65C	 0000003100
100	 65CG	 0000003120
100	 65CM	 0000003110
100	 65G	 0000003120
100	 65M	 0000003110
100	 66G	 0000003120
100	 66M	 0000003110
100	 67G	 0000003120
100	 67M	 0000003110
100	 68G	 0000003120
100	 68M	 0000003110
100	 69G	 0000003120
100	 69M	 0000003110
100	 71C	 0000002110
100	 73A	 0000002310
100	 73B	 0000002310
100	 73C	 0000002310
100	 73D	 0000002310
100	 73E	 0000002310
100	 73F	 0000002310
100	 73G	 0000002310
100	 73GA	 0000002310
100	 73GB	 0000002310
100	 73GC	 0000002310
100	 73GD	 0000002310
100	 74A	 0000002310
100	 74B	 0000002310
100	 74BA	 0000002310
100	 74BB	 0000002310
100	 75A	 MRS
100	 75D	 MRS
100	 75E	 MRS
100	 75F	 MRS
100	 75G	 MRS
100	 75J	 MRS
100	 75K	 MRS
100	 75M	 MRS
100	 76A	 MRS
100	 76D	 MRS
100	 76E	 MRS
100	 76F	 MRS
100	 76K	 MRS
100	 770V	 0000003320
100	 772I	 0000003310
100	 773I	 0000003310
100	 774V	 0000003320
100	 777V	 0000003320
100	 779I	 0000003310
100	 77A	 0000003320
100	 77AV	 0000003320
100	 77B	 0000003310
100	 77C	 0000003310
100	 77D	 0000003310
100	 77DI	 0000003310
100	 77DV	 0000003320
100	 77E	 0000003320
100	 77EV	 0000003320
100	 77F	 0000003320
100	 77G	 0000003320
100	 77GV	 0000003320
100	 77H	 0000003320
100	 77HV	 0000003320
100	 77J	 0000003320
100	 77K	 0000003320
100	 77KV	 0000003320
100	 77L	 0000003320
100	 77LV	 0000003320
100	 77M	 0000003320
100	 77MV	 0000003320
100	 77N	 0000003320
100	 77NV	 0000003320
100	 780S	 0000003330
100	 780V	 0000003320
100	 782S	 0000003330
100	 782V	 0000003320
100	 783S	 0000003330
100	 786I	 0000003310
100	 787V	 0000003320
