IW32	 SAPLCOIH	 3000	 I	 E	 IW	 461	 Error when calculating costs	 for order 004000000713.	 	 	 CTU	
Workflow ser ord	 134949	   1	 	 	 	 	 Order 4000000881 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 143611	   1	 	 	 	 	 Order 4000000680 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 144619	   1	 	 	 	 	 Order 4000000882 is locked and cannot be changed	 	 	 	 	
Workflow ser ord	 145422	   1	 	 	 	 	 Order 4000000883 is locked and cannot be changed	 	 	 	 	
test	 test	 	 	 	 	 	 	 	 	 	 	
equi crea idoc check	 141654	 	 	 	 	 	 TEST13	 	 	 	 	
equi crea idoc befor	 141655	 	 	 	 	 	 	 	 	 	 	
equi crea idoc	 141051	 	 	 	 	 	 000000000010004053000000000000000625	 	 	 	 	
equi crea idoc	 141052	 	 	 	 	 	 000000000010004060000000000000000632	 	 	 	 	
equi crea idoc	 141057	 	 	 	 	 	 000000000010004103000000000000000675	 	 	 	 	
equi crea idoc	 141056	 	 	 	 	 	 000000000010004098000000000000000670	 	 	 	 	
equi crea idoc	 141054	 	 	 	 	 	 000000000010004083000000000000000655	 	 	 	 	
equi crea idoc	 141055	 	 	 	 	 	 000000000010004093000000000000000665	 	 	 	 	
equi crea idoc	 141109	 	 	 	 	 	 000000000010004214000000000000000786	 	 	 	 	
equi crea idoc	 141100	 	 	 	 	 	 000000000010004131000000000000000703	 	 	 	 	
equi crea idoc	 141108	 	 	 	 	 	 000000000010004200000000000000000772	 	 	 	 	
equi crea idoc	 141059	 	 	 	 	 	 000000000010004128000000000000000700	 	 	 	 	
equi crea idoc	 141101	 	 	 	 	 	 000000000010004136000000000000000708	 	 	 	 	
equi crea idoc	 141102	 	 	 	 	 	 000000000010004146000000000000000718	 	 	 	 	
equi crea idoc	 141104	 	 	 	 	 	 000000000010004151000000000000000723	 	 	 	 	
equi crea idoc	 141113	 	 	 	 	 	 000000000010004256000000000000000828	 	 	 	 	
equi crea idoc	 141107	 	 	 	 	 	 000000000010004183000000000000000755	 	 	 	 	
equi crea idoc	 141105	 	 	 	 	 	 000000000010004158000000000000000730	 	 	 	 	
equi crea idoc	 141106	 	 	 	 	 	 000000000010004172000000000000000744	 	 	 	 	
