Atlas Copco Operatin


MANDT	 PALEDGER	 VRGAR	 VERSI	 PERIO	 PAOBJNR	 PASUBNR	 BELNR	 POSNR	 HZDAT	 USNAM	 GJAHR	 PERDE	 WADAT	 FADAT	 BUDAT	 ALTPERIO	 PAPAOBJNR	 PAPASUBNR	 KNDNR	 ARTNR	 FKART	 FRWAE	 KURSF	 KURSBK	 KURSKZ	 REC_WAERS	 KAUFN	 KDPOS	 RKAUFNR	 SKOST	 PRZNR	 BUKRS	 KOKRS	 WERKS	 GSBER	 VKORG	 VTWEG	 SPART	 HRKFT	 PLIKZ	 KSTAR	 PSPNR	 KSTRG	 RBELN	 RPOSN	 STO_BELNR	 STO_POSNR	 PRCTR	 PPRCTR	 RKESTATU	 TIMESTMP	 COPA_AWTYP	 COPA_AWORG	 COPA_BWZPT	 COPA_AWSYS	 AUART	 BEMOT	 EQUNR	 PRODH	 WW001	 WW002	 WW003	 WW004	 WW005	 WW006	 WW007	 VKBUR	 KUNWE	 KTGRD	 WW008	 WW009	 MATKL	 VV010_ME	 ABSMG_ME	 VV010	 VV100	 VV110	 VV200	 VV300	 VV400	 VV500	 VV600	 VV120	 VV101	 VV199	 VV111	 VV112	 VV130	 VV140	 VV150	 VV650	 VV700	 VV710	 VV720	 VV113	 VV114	 VV115	 VV116	 VV117	 VV118	 VV730	 ABSMG
100	 02	 A	 	 2012004	 0000001720	 0001	 0000000224	 	 20120103	 SSCJWU	 2012	 004	 00000000	 20120105	 20120103	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 1.00000 	 0.00000 	 0.00000 	 CNY	 0000000005	 000020	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000005	 000020	 	 	 49P	 	 	 6944284980000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000005	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 200.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 200.00 	 0.00 	 0.00 	 3.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 2.000
100	 01	 A	 	 2012004	 0000001727	 0001	 0000000225	 	 20120103	 SSCJWU	 2012	 004	 00000000	 20120105	 20120103	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 9.55749-	 0.00000 	 0.00000 	 EUR	 0000000006	 000010	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000006	 000010	 	 	 49P	 	 	 6944285860000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000006	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 10.46 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 10.46 	 0.00 	 0.00 	 0.16 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 1.000
100	 02	 A	 	 2012004	 0000001727	 0001	 0000000225	 	 20120103	 SSCJWU	 2012	 004	 00000000	 20120105	 20120103	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 1.00000 	 0.00000 	 0.00000 	 CNY	 0000000006	 000010	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000006	 000010	 	 	 49P	 	 	 6944285870000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000006	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 100.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00 	 0.00 	 0.00 	 1.50 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 1.000
100	 01	 A	 	 2012004	 0000001728	 0001	 0000000226	 	 20120103	 SSCJWU	 2012	 004	 00000000	 20120105	 20120103	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 9.55749-	 0.00000 	 0.00000 	 EUR	 0000000006	 000020	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000006	 000020	 	 	 49P	 	 	 6944285870000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000006	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 20.93 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 20.93 	 0.00 	 0.00 	 0.31 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 2.000
100	 02	 A	 	 2012004	 0000001728	 0001	 0000000226	 	 20120103	 SSCJWU	 2012	 004	 00000000	 20120105	 20120103	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 1.00000 	 0.00000 	 0.00000 	 CNY	 0000000006	 000020	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000006	 000020	 	 	 49P	 	 	 6944285870000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000006	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 200.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 200.00 	 0.00 	 0.00 	 3.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 2.000
100	 01	 A	 	 2012004	 0000001607	 0001	 0000000331	 	 20120124	 AIR14540	 2012	 004	 00000000	 20111025	 20120124	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 9.55749-	 0.00000 	 0.00000 	 EUR	 0000000003	 000010	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000003	 000010	 0000000111	 	 49P	 	 	 6962725220000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000003	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 10.46-	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 10.46-	 0.00 	 0.00 	 5.23-	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 1.000-
100	 02	 A	 	 2012004	 0000001607	 0001	 0000000331	 	 20120124	 AIR14540	 2012	 004	 00000000	 20111025	 20120124	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 1.00000 	 0.00000 	 0.00000 	 CNY	 0000000003	 000010	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000003	 000010	 0000000111	 	 49P	 	 	 6962725220000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000003	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 100.00-	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00-	 0.00 	 0.00 	 50.00-	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 1.000-
100	 01	 A	 	 2012004	 0000001711	 0001	 0000000332	 	 20120124	 AIR14540	 2012	 004	 00000000	 20120104	 20120124	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 9.55749-	 0.00000 	 0.00000 	 EUR	 0000000004	 000010	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000004	 000010	 0000000221	 	 49P	 	 	 6962725860000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000004	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 10.46-	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 10.46-	 0.00 	 0.00 	 0.16-	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 1.000-
100	 02	 A	 	 2012004	 0000001711	 0001	 0000000332	 	 20120124	 AIR14540	 2012	 004	 00000000	 20120104	 20120124	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 1.00000 	 0.00000 	 0.00000 	 CNY	 0000000004	 000010	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000004	 000010	 0000000221	 	 49P	 	 	 6962725860000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000004	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 100.00-	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 100.00-	 0.00 	 0.00 	 1.50-	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 1.000-
100	 01	 A	 	 2012004	 0000001712	 0001	 0000000333	 	 20120124	 AIR14540	 2012	 004	 00000000	 20120104	 20120124	 0000000	 0000000000	 0000	 0101000083	 000000001620991234	 ZF4	 CNY	 9.55749-	 0.00000 	 0.00000 	 EUR	 0000000004	 000020	 	 	 	 SHTA	 1000	 CN01	 	 CN01	 01	 01	 	 0	 	 00000000	 	 0000000004	 000020	 0000000222	 	 49P	 	 	 6962725860000 	 VBRK	 	 	 	 	 1E	 	 49P 499	 E	 CTS	 1E	 00000004	 ZOR	 49P	 499	 CN01	 0101000083	 Z1	 CN0004	 CN	 02	 	 ST	 0.000 	 20.93-	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 20.93-	 0.00 	 0.00 	 0.31-	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 0.00 	 2.000-
