[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_PP_MONITOR_OBS_COM_STK_RP,N/A,33,10,23,70%,Monitor Obsolet Component Stock Report
YRD_PP_MONITOR_FRM,N/A,435,266,169,39%,Include YRD_PP_MONITOR_FRM
YRD_PP_MONITOR_PAI,N/A,11,3,8,73%,Include YRD_PP_MONITOR_PAI
YRD_PP_MONITOR_PBO,N/A,21,7,14,67%,Include YRD_PP_MONITOR_PBO
YRD_PP_MONITOR_TOP,N/A,153,111,42,27%,Include YRD_PP_MONITOR_TOP
YRD_PP_MONITOR_OBS_COM_STK_RP,2000,7,5,2,29%,alv display screen
[Totle], ,660,402,258,39%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_PP_PICKING_LIST_SF,N/A,220,121,99,45%,PP Picking List Form Print Program
[Totle], ,220,121,99,45%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_PP_SUPPLEADJUST,N/A,174,107,67,39%,YRD_PP_SUPPLEADJUST
[Totle], ,174,107,67,39%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_PP_SUPPLEMENT,N/A,573,369,204,36%,YRD_PP_SUPPLEMENT
[Totle], ,573,369,204,36%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_PP_WMS_INTERFACE_RP,N/A,34,10,24,71%,Report for WMS interface
YRD_PP_WMS_INTERFACE_FRM,N/A,170,125,45,26%,Include YRD_PP_WMS_INTERFACE_FRM
YRD_PP_WMS_INTERFACE_TOP,N/A,50,43,7,14%,Include YRD_PP_WMS_INTERFACE_TOP
[Totle], ,254,178,76,30%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
YRD_PP_WOFD_UPDATE,N/A,289,164,125,43%,YRD_PP_WOFD_UPDATE
[Totle], ,289,164,125,43%, 
,,,,,,
,,,,,,
[Program ID],[Dynpro No.],[Total Lines],[Process Lines],[Comment Lines],[Percentage],[Title]
